id	name	description	rgb[0]	rgb[1]	rgb[2]	reserved1
18014	a,Offering of Branded Berserker\0	a,[37]  1,3k\0	9C	E8	A9	-1
18015	a,Offering of Branded Zealot\0	a,[34]  1,2k\0	9C	E8	A9	-1
18016	a,Offering of Branded Marksman\0	a,[32]  1,1k\0	9C	E8	A9	-1
18017	a,Offering of Branded Disciple\0	a,[34]  1,2k\0	9C	E8	A9	-1
18018	a,Offering of Branded Saint\0	a,[39]  1,5k\0	9C	E8	A9	-1
18019	a,Apostate's Offering Elder\0	a,[45]  1,9k\0	9C	E8	A9	-1
18020	a,Apostate's Offering\0	a,[43]  1,7k\0	9C	E8	A9	-1
18021	a,Apostate's Offering Archer\0	a,[39]  1,5k\0	9C	E8	A9	-1
18022	a,Apostate's Offering Warrior\0	a,[40]  1,5k\0	9C	E8	A9	-1
18023	a,Apostate's Offering Follower\0	a,[40]  1,5k\0	9C	E8	A9	-1
18024	a,Apostate's Offering Berserker\0	a,[48]  2,1k\0	9C	E8	A9	-1
18025	a,Apostate's Offering Zealot\0	a,[45]  1,9k\0	9C	E8	A9	-1
18026	a,Apostate's Offering Marksman\0	a,[43]  1,7k\0	9C	E8	A9	-1
18027	a,Apostate's Offering Disciple\0	a,[45]  1,9k\0	9C	E8	A9	-1
18028	a,Apostate's Offering Saint\0	a,[50]  2,2k\0	9C	E8	A9	-1
18029	a,Witch's Offering Elder\0	a,[56]  2,7k\0	9C	E8	A9	-1
18030	a,Witch's Offering\0	a,[54]  2,6k\0	9C	E8	A9	-1
18031	a,Witch's Offering Archer\0	a,[50]  2,2k\0	9C	E8	A9	-1
18032	a,Witch's Offering Warrior\0	a,[51]  2,3k\0	9C	E8	A9	-1
18033	a,Witch's Offering Follower\0	a,[51]  2,3k\0	9C	E8	A9	-1
18034	a,Witch's Offering Berserker\0	a,[59]  3k\0	9C	E8	A9	-1
18035	a,Witch's Offering Zealot\0	a,[56]  2,7k\0	9C	E8	A9	-1
18036	a,Witch's Offering Marksman\0	a,[54]  2,6k\0	9C	E8	A9	-1
18037	a,Witch's Offering Disciple\0	a,[56]  2,7k\0	9C	E8	A9	-1
18038	a,Witch's Offering Saint\0	a,[61]  3,1k\0	9C	E8	A9	-1
18039	a,Dark Omen Offering Elder\0	a,[67]  3,6k\0	9C	E8	A9	-1
18040	a,Dark Omen Offering\0	a,[65]  3,5k\0	9C	E8	A9	-1
18041	a,Dark Omen Offering Archer\0	a,[61]  3,1k\0	9C	E8	A9	-1
18042	a,Dark Omen Offering Warrior\0	a,[62]  3,2k\0	9C	E8	A9	-1
18043	a,Dark Omen Offering Follower\0	a,[62]  3,2k\0	9C	E8	A9	-1
18044	a,Dark Omen Offering Berserker\0	a,[70]  3,9k\0	9C	E8	A9	-1
18045	a,Dark Omen Offering Zealot\0	a,[67]  3,6k\0	9C	E8	A9	-1
18046	a,Dark Omen Offering Marksman\0	a,[65]  3,5k\0	9C	E8	A9	-1
18047	a,Dark Omen Offering Disciple\0	a,[67]  3,6k\0	9C	E8	A9	-1
18048	a,Dark Omen Offering Saint\0	a,[72]  4k\0	9C	E8	A9	-1
18049	a,Offering of Forbidden Path Elder\0	a,[78]  4,4k\0	9C	E8	A9	-1
18050	a,Offering of Forbidden Path\0	a,[76]  4,3k\0	9C	E8	A9	-1
18051	a,Offering of Forbidden Path Archer\0	a,[78]  4,8k\0	9C	E8	A9	-1
18052	a,Offering of Forbidden Path Warrior\0	a,[78]  4,6k\0	9C	E8	A9	-1
18053	a,Offering of Forbidden Path Follower\0	a,[78]  4,6k\0	9C	E8	A9	-1
18054	a,Offering of Forbidden Path Berserker\0	a,[78]  4,7k\0	9C	E8	A9	-1
18055	a,Offering of Forbidden Path Zealot\0	a,[78]  4,4k\0	9C	E8	A9	-1
18056	a,Offering of Forbidden Path Marksman\0	a,[76]  4,3k\0	9C	E8	A9	-1
18057	a,Offering of Forbidden Path Disciple\0	a,[78]  4,4k\0	9C	E8	A9	-1
18058	a,Offering of Forbidden Path Saint\0	a,[80]  4,7k\0	9C	E8	A9	-1
18059	a,Offering of Branded Elder\0	a,[34]  1,2k\0	9C	E8	A9	-1
18060	a,Offering of the Branded\0	a,[32]  1,1k\0	9C	E8	A9	-1
18061	a,Offering of Branded Archer\0	a,[28]  859\0	9C	E8	A9	-1
18062	a,Offering of Branded Warrior\0	a,[29]  906\0	9C	E8	A9	-1
18063	a,Offering of Branded Follower\0	a,[29]  906\0	9C	E8	A9	-1
18064	a,Offering of Branded Berserker\0	a,[37]  1,3k\0	9C	E8	A9	-1
18065	a,Offering of Branded Zealot\0	a,[34]  1,2k\0	9C	E8	A9	-1
18066	a,Offering of Branded Marksman\0	a,[32]  1,1k\0	9C	E8	A9	-1
18067	a,Offering of Branded Disciple\0	a,[34]  1,2k\0	9C	E8	A9	-1
18068	a,Offering of Branded Saint\0	a,[39]  1,5k\0	9C	E8	A9	-1
18069	a,Apostate's Offering Elder\0	a,[45]  1,9k\0	9C	E8	A9	-1
18070	a,Apostate's Offering\0	a,[43]  1,7k\0	9C	E8	A9	-1
18071	a,Apostate's Offering Archer\0	a,[39]  1,5k\0	9C	E8	A9	-1
18072	a,Apostate's Offering Warrior\0	a,[40]  1,5k\0	9C	E8	A9	-1
18073	a,Apostate's Offering Follower\0	a,[40]  1,5k\0	9C	E8	A9	-1
18074	a,Apostate's Offering Berserker\0	a,[48]  2,1k\0	9C	E8	A9	-1
18075	a,Apostate's Offering Zealot\0	a,[45]  1,9k\0	9C	E8	A9	-1
18076	a,Apostate's Offering Marksman\0	a,[43]  1,7k\0	9C	E8	A9	-1
18077	a,Apostate's Offering Disciple\0	a,[45]  1,9k\0	9C	E8	A9	-1
18078	a,Apostate's Offering Saint\0	a,[50]  2,2k\0	9C	E8	A9	-1
18079	a,Witch's Offering Elder\0	a,[56]  2,7k\0	9C	E8	A9	-1
18080	a,Witch's Offering\0	a,[54]  2,6k\0	9C	E8	A9	-1
18081	a,Witch's Offering Archer\0	a,[50]  2,2k\0	9C	E8	A9	-1
18082	a,Witch's Offering Warrior\0	a,[51]  2,3k\0	9C	E8	A9	-1
18083	a,Witch's Offering Follower\0	a,[51]  2,3k\0	9C	E8	A9	-1
18084	a,Witch's Offering Berserker\0	a,[59]  3k\0	9C	E8	A9	-1
18085	a,Witch's Offering Zealot\0	a,[56]  2,7k\0	9C	E8	A9	-1
18086	a,Witch's Offering Marksman\0	a,[54]  2,6k\0	9C	E8	A9	-1
18087	a,Witch's Offering Disciple\0	a,[56]  2,7k\0	9C	E8	A9	-1
18088	a,Witch's Offering Saint\0	a,[61]  3,1k\0	9C	E8	A9	-1
18089	a,Dark Omen Offering Elder\0	a,[67]  3,6k\0	9C	E8	A9	-1
18090	a,Dark Omen Offering\0	a,[65]  3,5k\0	9C	E8	A9	-1
18091	a,Dark Omen Offering Archer\0	a,[61]  3,1k\0	9C	E8	A9	-1
18092	a,Dark Omen Offering Warrior\0	a,[62]  3,2k\0	9C	E8	A9	-1
18093	a,Dark Omen Offering Follower\0	a,[62]  3,2k\0	9C	E8	A9	-1
18094	a,Dark Omen Offering Berserker\0	a,[70]  3,9k\0	9C	E8	A9	-1
18095	a,Dark Omen Offering Zealot\0	a,[67]  3,6k\0	9C	E8	A9	-1
18096	a,Dark Omen Offering Marksman\0	a,[65]  3,5k\0	9C	E8	A9	-1
18097	a,Dark Omen Offering Disciple\0	a,[67]  3,6k\0	9C	E8	A9	-1
18098	a,Dark Omen Offering Saint\0	a,[72]  4k\0	9C	E8	A9	-1
18099	a,Offering of Forbidden Path Elder\0	a,[78]  4,4k\0	9C	E8	A9	-1
18100	a,Offering of Forbidden Path\0	a,[76]  4,3k\0	9C	E8	A9	-1
18101	a,Offering of Forbidden Path Archer\0	a,[78]  4,8k\0	9C	E8	A9	-1
18102	a,Offering of Forbidden Path Warrior\0	a,[78]  4,6k\0	9C	E8	A9	-1
18103	a,Offering of Forbidden Path Follower\0	a,[78]  4,6k\0	9C	E8	A9	-1
18104	a,Offering of Forbidden Path Berserker\0	a,[78]  4,7k\0	9C	E8	A9	-1
18105	a,Offering of Forbidden Path Zealot\0	a,[78]  4,4k\0	9C	E8	A9	-1
18106	a,Offering of Forbidden Path Marksman\0	a,[76]  4,3k\0	9C	E8	A9	-1
18107	a,Offering of Forbidden Path Disciple\0	a,[78]  4,4k\0	9C	E8	A9	-1
18108	a,Offering of Forbidden Path Saint\0	a,[78]  4,8k\0	9C	E8	A9	-1
18109	a,Treasures of the Festival\0	a,[30]  999\0	9C	E8	A9	-1
18110	a,Treasures of the Festival\0	a,[41]  1,5k\0	9C	E8	A9	-1
18111	a,Treasures of the Festival\0	a,[52]  2,1k\0	9C	E8	A9	-1
18112	a,Treasures of the Festival\0	a,[63]  2,6k\0	9C	E8	A9	-1
18113	a,Treasures of the Festival\0	a,[72]  3,1k\0	9C	E8	A9	-1
18114	a,Treasures of the Festival\0	a,[30]  999\0	9C	E8	A9	-1
18115	a,Treasures of the Festival\0	a,[41]  1,5k\0	9C	E8	A9	-1
18116	a,Treasures of the Festival\0	a,[52]  2,1k\0	9C	E8	A9	-1
18117	a,Treasures of the Festival\0	a,[63]  2,6k\0	9C	E8	A9	-1
18118	a,Treasures of the Festival\0	a,[72]  3,1k\0	9C	E8	A9	-1
18119	a,Corpse of Deadman\0	a,[63]  3,3k\0	9C	E8	A9	-1
18120	a,Halisha's Officer\0	a,[80]  28k\0	9C	E8	A9	-1
18121	a,Halisha's Officer\0	a,[80]  28k\0	9C	E8	A9	-1
18122	a,Halisha's Officer\0	a,[78]  28k\0	9C	E8	A9	-1
18123	a,Halisha's Officer\0	a,[80]  28k\0	9C	E8	A9	-1
18124	a,Halisha's Officer\0	a,[80]  28k\0	9C	E8	A9	-1
18125	a,Halisha's Officer\0	a,[80]  28k\0	9C	E8	A9	-1
18126	a,Halisha's Officer\0	a,[78]  28k\0	9C	E8	A9	-1
18127	a,Halisha's Officer\0	a,[78]  28k\0	9C	E8	A9	-1
18128	a,Halisha's Officer\0	a,[81]  250k\0	9C	E8	A9	-1
18129	a,Halisha's Officer\0	a,[80]  28k\0	9C	E8	A9	-1
18130	a,Halisha's Officer\0	a,[80]  28k\0	9C	E8	A9	-1
18131	a,Halisha's Officer\0	a,[78]  28k\0	9C	E8	A9	-1
18132	a,Imperial Healer\0	a,[78]  28k\0	9C	E8	A9	-1
18133	a,Imperial Mosaic\0	a,[78]  28k\0	9C	E8	A9	-1
18134	a,Imperial Mosaic\0	a,[78]  28k\0	9C	E8	A9	-1
18135	a,Imperial Mosaic\0	a,[78]  28k\0	9C	E8	A9	-1
18136	a,Imperial Mosaic\0	a,[78]  32k\0	9C	E8	A9	-1
18137	a,Imperial Mosaic\0	a,[80]  28k\0	9C	E8	A9	-1
18138	a,Imperial Mosaic\0	a,[78]  28k\0	9C	E8	A9	-1
18139	a,Imperial Mosaic\0	a,[80]  28k\0	9C	E8	A9	-1
18140	a,Imperial Mosaic\0	a,[78]  28k\0	9C	E8	A9	-1
18141	a,Beetle of Grave\0	a,[80]  18k\0	9C	E8	A9	-1
18142	a,Beetle of Grave\0	a,[80]  18k\0	9C	E8	A9	-1
18143	a,Beetle of Grave\0	a,[78]  19k\0	9C	E8	A9	-1
18144	a,Beetle of Grave\0	a,[78]  19k\0	9C	E8	A9	-1
18145	a,Beetle of Grave\0	a,[81]  111k\0	9C	E8	A9	-1
18146	a,Beetle of Grave\0	a,[78]  19k\0	9C	E8	A9	-1
18147	a,Beetle of Grave\0	a,[81]  111k\0	9C	E8	A9	-1
18148	a,Beetle of Grave\0	a,[78]  19k\0	9C	E8	A9	-1
18149	a,Beetle of Grave\0	a,[78]  19k\0	9C	E8	A9	-1
18150	a,Victim\0	a,[78]  4,7k\0	9C	E8	A9	-1
18151	a,Victim\0	a,[80]  4,6k\0	9C	E8	A9	-1
18152	a,Victim\0	a,[80]  4,6k\0	9C	E8	A9	-1
18153	a,Victim\0	a,[78]  4,7k\0	9C	E8	A9	-1
18154	a,Victim\0	a,[78]  4,7k\0	9C	E8	A9	-1
18155	a,Victim\0	a,[78]  4,7k\0	9C	E8	A9	-1
18156	a,Victim\0	a,[80]  4,6k\0	9C	E8	A9	-1
18157	a,Victim\0	a,[80]  4,6k\0	9C	E8	A9	-1
18158	a,Executioner of Halisha\0	a,[80]  166k\0	9C	E8	A9	-1
18159	a,Executioner of Halisha\0	a,[78]  169k\0	9C	E8	A9	-1
18160	a,Executioner of Halisha\0	a,[80]  166k\0	9C	E8	A9	-1
18161	a,Executioner of Halisha\0	a,[80]  166k\0	9C	E8	A9	-1
18162	a,Executioner of Halisha\0	a,[80]  166k\0	9C	E8	A9	-1
18163	a,Executioner of Halisha\0	a,[78]  169k\0	9C	E8	A9	-1
18164	a,Executioner of Halisha\0	a,[78]  169k\0	9C	E8	A9	-1
18165	a,Executioner of Halisha\0	a,[78]  169k\0	9C	E8	A9	-1
18166	a,Imperial Guard\0	a,[78]  28k\0	9C	E8	A9	-1
18167	a,Imperial Guard\0	a,[78]  28k\0	9C	E8	A9	-1
18168	a,Imperial Guard\0	a,[78]  28k\0	9C	E8	A9	-1
18169	a,Imperial Guard\0	a,[78]  32k\0	9C	E8	A9	-1
18170	a,Imperial Guard\0	a,[78]  28k\0	9C	E8	A9	-1
18171	a,Imperial Guard\0	a,[78]  28k\0	9C	E8	A9	-1
18172	a,Imperial Guard\0	a,[78]  28k\0	9C	E8	A9	-1
18173	a,Halisha's Foreman\0	a,[80]  28k\0	9C	E8	A9	-1
18174	a,Halisha's Foreman\0	a,[80]  28k\0	9C	E8	A9	-1
18175	a,Halisha's Foreman\0	a,[81]  250k\0	9C	E8	A9	-1
18176	a,Halisha's Foreman\0	a,[80]  28k\0	9C	E8	A9	-1
18177	a,Halisha's Foreman\0	a,[80]  28k\0	9C	E8	A9	-1
18178	a,Halisha's Foreman\0	a,[81]  250k\0	9C	E8	A9	-1
18179	a,Halisha's Foreman\0	a,[78]  28k\0	9C	E8	A9	-1
18180	a,Halisha's Foreman\0	a,[78]  28k\0	9C	E8	A9	-1
18181	a,Halisha's Foreman\0	a,[81]  250k\0	9C	E8	A9	-1
18182	a,Halisha's Foreman\0	a,[78]  28k\0	9C	E8	A9	-1
18183	a,Halisha's Foreman\0	a,[81]  28k\0	9C	E8	A9	-1
18184	a,Halisha's Foreman\0	a,[81]  250k\0	9C	E8	A9	-1
18185	a,Evil Astrologer\0	a,[78]  28k\0	9C	E8	A9	-1
18186	a,Evil Astrologer\0	a,[78]  28k\0	9C	E8	A9	-1
18187	a,Knight of Darkness\0	a,[78]  28k\0	9C	E8	A9	-1
18188	a,Knight of Darkness\0	a,[78]  28k\0	9C	E8	A9	-1
18189	a,Knight of Darkness\0	a,[78]  28k\0	9C	E8	A9	-1
18190	a,Knight of Darkness\0	a,[78]  32k\0	9C	E8	A9	-1
18191	a,Witch of dust\0	a,[80]  28k\0	9C	E8	A9	-1
18192	a,Witch of dust\0	a,[78]  28k\0	9C	E8	A9	-1
18193	a,Witch of dust\0	a,[80]  28k\0	9C	E8	A9	-1
18194	a,Witch of dust\0	a,[80]  28k\0	9C	E8	A9	-1
18195	a,Signet of Emperor\0	a,[78]  28k\0	9C	E8	A9	-1
18196	a,Charm of Corner\0	a,[80]  28k\0	9C	E8	A9	-1
18197	a,Charm of Corner\0	a,[80]  28k\0	9C	E8	A9	-1
18198	a,Charm of Corner\0	a,[80]  28k\0	9C	E8	A9	-1
18199	a,Charm of Corner\0	a,[80]  28k\0	9C	E8	A9	-1
18200	a,Charm of Corner\0	a,[80]  28k\0	9C	E8	A9	-1
18201	a,Charm of Corner\0	a,[80]  28k\0	9C	E8	A9	-1
18202	a,Charm of Corner\0	a,[80]  28k\0	9C	E8	A9	-1
18203	a,Charm of Corner\0	a,[80]  28k\0	9C	E8	A9	-1
18204	a,Charm of Corner\0	a,[78]  28k\0	9C	E8	A9	-1
18205	a,Charm of Corner\0	a,[78]  28k\0	9C	E8	A9	-1
18206	a,Charm of Corner\0	a,[78]  28k\0	9C	E8	A9	-1
18207	a,Charm of Corner\0	a,[78]  28k\0	9C	E8	A9	-1
18208	a,Charm of Corner\0	a,[80]  28k\0	9C	E8	A9	-1
18209	a,Charm of Corner\0	a,[80]  28k\0	9C	E8	A9	-1
18210	a,Charm of Corner\0	a,[80]  28k\0	9C	E8	A9	-1
18211	a,Charm of Corner\0	a,[80]  28k\0	9C	E8	A9	-1
18212	a,Archon of Halisha\0	a,[78]  28k\0	9C	E8	A9	-1
18213	a,Archon of Halisha\0	a,[81]  250k\0	9C	E8	A9	-1
18214	a,Archon of Halisha\0	a,[80]  28k\0	9C	E8	A9	-1
18215	a,Archon of Halisha\0	a,[78]  28k\0	9C	E8	A9	-1
18216	a,Archon of Halisha\0	a,[78]  28k\0	9C	E8	A9	-1
18217	a,Archon of Halisha\0	a,[78]  28k\0	9C	E8	A9	-1
18218	a,Archon of Halisha\0	a,[78]  28k\0	9C	E8	A9	-1
18219	a,Archon of Halisha\0	a,[81]  250k\0	9C	E8	A9	-1
18220	a,Shaman of Darkness\0	a,[78]  28k\0	9C	E8	A9	-1
18221	a,Shaman of Darkness\0	a,[78]  28k\0	9C	E8	A9	-1
18222	a,Assassin of Darkness\0	a,[78]  28k\0	9C	E8	A9	-1
18223	a,Assassin of Darkness\0	a,[78]  28k\0	9C	E8	A9	-1
18224	a,Assassin of Darkness\0	a,[78]  28k\0	9C	E8	A9	-1
18225	a,Assassin of Darkness\0	a,[78]  32k\0	9C	E8	A9	-1
18226	a,Caster of Darkness\0	a,[78]  28k\0	9C	E8	A9	-1
18227	a,Caster of Darkness\0	a,[78]  28k\0	9C	E8	A9	-1
18228	a,Caster of Darkness\0	a,[78]  28k\0	9C	E8	A9	-1
18229	a,Caster of Darkness\0	a,[78]  28k\0	9C	E8	A9	-1
18230	a,Signet of Emperor\0	a,[78]  14k\0	9C	E8	A9	-1
18231	a,Statue of Protection\0	a,[81]  0\0	9C	E8	A9	-1
18232	a,Statue of Protection\0	a,[81]  0\0	9C	E8	A9	-1
18233	a,Statue of Protection\0	a,[81]  0\0	9C	E8	A9	-1
18234	a,Statue of Protection\0	a,[81]  0\0	9C	E8	A9	-1
18235	a,Statue of Protection\0	a,[81]  0\0	9C	E8	A9	-1
18236	a,Statue of Protection\0	a,[81]  0\0	9C	E8	A9	-1
18237	a,Statue of Protection\0	a,[81]  0\0	9C	E8	A9	-1
18238	a,Statue of Protection\0	a,[81]  0\0	9C	E8	A9	-1
18239	a,Statue of Protection\0	a,[81]  0\0	9C	E8	A9	-1
18240	a,Statue of Protection\0	a,[81]  0\0	9C	E8	A9	-1
18241	a,Statue of Protection\0	a,[81]  0\0	9C	E8	A9	-1
18242	a,Statue of Protection\0	a,[81]  0\0	9C	E8	A9	-1
18243	a,Statue of Protection\0	a,[78]  28k\0	9C	E8	A9	-1
18244	a,Watchman of Grave\0	a,[80]  18k\0	9C	E8	A9	-1
18245	a,Watchman of Grave\0	a,[80]  18k\0	9C	E8	A9	-1
18246	a,Watchman of Grave\0	a,[78]  19k\0	9C	E8	A9	-1
18247	a,Watchman of Grave\0	a,[81]  0\0	9C	E8	A9	-1
18248	a,Watchman of Grave\0	a,[81]  0\0	9C	E8	A9	-1
18249	a,Watchman of Grave\0	a,[81]  0\0	9C	E8	A9	-1
18250	a,Watchman of Grave\0	a,[81]  0\0	9C	E8	A9	-1
18251	a,Watchman of Grave\0	a,[81]  0\0	9C	E8	A9	-1
18252	a,Watchman of Grave\0	a,[81]  0\0	9C	E8	A9	-1
18253	a,Watchman of Grave\0	a,[81]  0\0	9C	E8	A9	-1
18254	a,Watchman of Grave\0	a,[81]  0\0	9C	E8	A9	-1
18255	a,Watchman of Grave\0	a,[81]  0\0	9C	E8	A9	-1
18256	a,Halisha's Treasure Box\0	a,[78]  1\0	9C	E8	A9	-1
18265	a,Treasure Chest\0	a,[21]  594\0	9C	E8	A9	-1
18266	a,Treasure Chest\0	a,[24]  710\0	9C	E8	A9	-1
18267	a,Treasure Chest\0	a,[27]  840\0	9C	E8	A9	-1
18268	a,Treasure Chest\0	a,[30]  985\0	9C	E8	A9	-1
18269	a,Treasure Chest\0	a,[33]  1,1k\0	9C	E8	A9	-1
18270	a,Treasure Chest\0	a,[36]  1,3k\0	9C	E8	A9	-1
18271	a,Treasure Chest\0	a,[39]  1,5k\0	9C	E8	A9	-1
18272	a,Treasure Chest\0	a,[42]  1,7k\0	9C	E8	A9	-1
18273	a,Treasure Chest\0	a,[45]  1,9k\0	9C	E8	A9	-1
18274	a,Treasure Chest\0	a,[48]  2,2k\0	9C	E8	A9	-1
18275	a,Treasure Chest\0	a,[51]  2,4k\0	9C	E8	A9	-1
18276	a,Treasure Chest\0	a,[54]  2,6k\0	9C	E8	A9	-1
18277	a,Treasure Chest\0	a,[57]  2,9k\0	9C	E8	A9	-1
18278	a,Treasure Chest\0	a,[60]  3,2k\0	9C	E8	A9	-1
18279	a,Treasure Chest\0	a,[63]  3,4k\0	9C	E8	A9	-1
18280	a,Treasure Chest\0	a,[66]  3,7k\0	9C	E8	A9	-1
18281	a,Treasure Chest\0	a,[69]  3,9k\0	9C	E8	A9	-1
18282	a,Treasure Chest\0	a,[72]  4,1k\0	9C	E8	A9	-1
18283	a,Treasure Chest\0	a,[75]  4,4k\0	9C	E8	A9	-1
18284	a,Treasure Chest\0	a,[78]  4,6k\0	9C	E8	A9	-1
18285	a,Treasure Chest\0	a,[78]  4,9k\0	9C	E8	A9	-1
18286	a,Treasure Chest\0	a,[78]  5,2k\0	9C	E8	A9	-1
18287	a,Otherworldly Invader Food\0	a,[33]  1,1k\0	9C	E8	A9	-1
18288	a,Otherworldly Invader Food\0	a,[35]  1,2k\0	9C	E8	A9	-1
18289	a,Dimension Invader Food\0	a,[43]  1,7k\0	9C	E8	A9	-1
18290	a,Dimension Invader Food\0	a,[45]  1,9k\0	9C	E8	A9	-1
18291	a,Purgatory Invader Food\0	a,[53]  2,5k\0	9C	E8	A9	-1
18292	a,Purgatory Invader Food\0	a,[55]  2,6k\0	9C	E8	A9	-1
18293	a,Forbidden Path Invader Food\0	a,[63]  3,3k\0	9C	E8	A9	-1
18294	a,Forbidden Path Invader Food\0	a,[65]  3,5k\0	9C	E8	A9	-1
18295	a,Dark Omen Invader Food\0	a,[73]  4,1k\0	9C	E8	A9	-1
18296	a,Dark Omen Invader Food\0	a,[75]  4,2k\0	9C	E8	A9	-1
18297	a,Messenger Invader Food\0	a,[78]  5k\0	9C	E8	A9	-1
18298	a,Messenger Invader Food\0	a,[78]  5,2k\0	9C	E8	A9	-1
18299	a,Flame of the Branded\0	a,[35]  11k\0	9C	E8	A9	-1
18300	a,Offering of the Branded, Evoked Spirit\0	a,[33]  1,1k\0	9C	E8	A9	-1
18301	a,Flame of Apostates\0	a,[46]  17k\0	9C	E8	A9	-1
18302	a,Offering of Apostates, Evoked Spirit\0	a,[44]  1,8k\0	9C	E8	A9	-1
18303	a,Flame of the Witch\0	a,[57]  25k\0	9C	E8	A9	-1
18304	a,Offering of the Witch, Evoked Spirit\0	a,[55]  2,6k\0	9C	E8	A9	-1
18305	a,Flame of Dark Omen\0	a,[68]  33k\0	9C	E8	A9	-1
18306	a,Offering of Dark Omen, Evoked Spirit\0	a,[66]  3,5k\0	9C	E8	A9	-1
18307	a,Flame of Forbidden Path\0	a,[79]  40k\0	9C	E8	A9	-1
18308	a,Offering of /Forbidden Path, Evoked Spirit\0	a,[77]  4,4k\0	9C	E8	A9	-1
18309	a,Flame of the Branded\0	a,[35]  11k\0	9C	E8	A9	-1
18310	a,Offering of the Branded, Evoked Spirit\0	a,[33]  1,1k\0	9C	E8	A9	-1
18311	a,Flame of Apostates\0	a,[46]  17k\0	9C	E8	A9	-1
18312	a,Offering of Apostates, Evoked Spirit\0	a,[44]  1,8k\0	9C	E8	A9	-1
18313	a,Flame of the Witch\0	a,[57]  25k\0	9C	E8	A9	-1
