id	int1	int2	enable_?	tip
58	3	101	0	u,Во время создания личной торговой лавки, если отметить поле общей продажи, вы сможете купить все предметы находящиеся в списках Покупка/Продажа.\0
59	4	101	1	u,После выполнения задания необходимо, чтобы загруженность вашего инвентаря была не более 80%, \\n иначе при разговоре с NPC задание может не выполниться.\0
60	3	102	1	u,Во время проведения олимпиады умения, поступившие вам от клана, не могут быть использованы.\0
61	4	101	1	u,При нажатии клавиши Delete камера поворачивается в ту сторону, в которую смотрит ваш персонаж.\0
62	3	101	1	u,Если вы нечаянно внесли друга в игнор лист, вы сможете отменить игнор с помощью комманды ""/unblock Имя персонажа"".\0
63	3	101	1	u,После введения команды ""/allblock"" вас никто не будет отвлекать. Чтобы вернуться в обычное состояние, наберите комманду ""/allunblock"".\0
64	3	0	1	u,С помощью тутаировок характеристики могут быть увеличены максимум до 5.\\nПредела для уменьшения характеристик не существует.\0
65	2	101	1	u,При помощи комманды ""/target"" вы сможете легко найти персонажей либо NPC, находящихся недалеко от вас.\\n Если имя NPC содержит пробелы, вводите все имя вместе с ними.\0
66	3	0	1	u,Во время фестиваля тьмы очки репутации клана могут получить как воины Заката, так и воины Рассвета.\0
67	3	0	1	u,Если завершить обучение после создания персонажа, вы можете получить ""Жетон новичка""\\n его вы сможете использовать, поговорив с гидом для новичков.\0
68	4	101	1	u,При двойном нажатии на рецепт он заносится в книгу рецептов, а у класса гномов \\n для создания предметов можно использовать умение.\0
69	3	102	1	u,В локации, где обитает Валакас нельзя перезаходить в игру, если вы выйдите, при следующем заходе вы появитесь в деревне Годдард.\0
70	2	0	1	u,При улучшении доспехов, все доспехи, кроме полных доспехов, можно безопасно улучшить до +3.\\n При улучшении предмета на +4 и более, появляется шанс, равный 1/3, что предмет будет разбит на кристаллы.\0
71	4	0	1	u,Если улучшение предмета не удалось, вы получаете определенное количество кристаллов, цена полученных кристаллов будет равна примерно половине цены предмета.\0
72	4	101	1	u,В умениях есть ""Сверхудары"", если нанести последний удар по монстру умением/заклинанием, с возможностью ""сверхудара"", вы можете получить дополнительный опыт.\0
73	2	0	1	u,Создайте файл логотипа клана размером 16 x 12 пикселей, 256 цветов, форматом BMP и сохраните в папку System, которая находится в папке LineageII, затем войдите в игре в меню управление логотипом. \0
74	3	0	1	u,Создайте файл логотипа альянса размером 8 x 12 пикселей, 256 цветов, форматом BMP и сохраните в папку System, которая находится в папке LineageII, затем напишите в игре комманду ""/Добавить логотип альянса"".\0
75	2	0	1	u,Просим вас использовать правильную разговорную речь и не использовать табуированную лексику.\0
76	3	0	1	u,При обнаружении использования ботов, просим вас отправить петицию с именем персонажа нарушителя. Этим вы поможете сделать игру LineageII более интересной.\0
77	1	0	1	u,Во время торговли всегда внимательно проверяйте имя персонажа, с которым торгуете, предметы и их цену.\0
78	2	0	1	u,Долговременное пребывание в игре может нанести вред вашему здоровью. Просим вас делать перерывы во время игры.\0
79	2	0	1	u,Вы можете получить помощь Гейм Мастеров через систему петиций, время использования сервиса петиций : 13:00 - 05:00.\0
80	1	0	1	u,При использовании частной лавки всегда внимательно проверяйте цену и количество покупаемого/продаваемого предмета.\0
81	2	0	1	u,Если во время игры вы застряли в текстурах используйте комманду ""/unstuck"".\\n Если вам не удалось освободиться с помощью этой комманды, отправьте петицию и вам поможет Гейм Мастер.\0
82	4	0	1	u,Для вашей же безопасности просим вас через некоторое время менять пароли от аккаунта, если вы играете из компьютерного клуба, то будьте особенно внимательны.\0
83	3	0	1	u,Если вы не можете войти в игру или во время игры появляются какие-либо ошибки, обратитесь в службу технической поддержки. \\n Мы постараемся решить вашу проблемму в ближайшее время.\0
84	3	0	1	u,По вопросам об оплате вы можете обратиться в службу поддержки.\0
85	4	0	1	u,Если у вас в городе появилось сообщение ""замороженное состояние"" и вы не можете двигаться, \\n отмените текущую цель клавишей ESC или выберите новую цель. \0
86	1	0	1	u,Если вес ваших вещей в инвентаре превышает 80% максимального, вы не сможете переместиться в Разлом Между Мирами и на Ипподром Монстров.\\n Чтобы туда попасть необходимо уменьшить общий вес предметов в инвентаре.\0
87	3	101	1	u,Если выпавших предметов слишком много это вызывает задержку действий других игроков. \\n Старайтесь подбирать предметы сразу.\0
88	2	0	1	u,Для быстрого перемещения в Разлом Между Мирами, поговорите с Жрецом Семи Печатей и вы переместитесь на Поле Битвы Тьмы.\\n Оттуда, с помощью соответствующего NPC, отправляйтесь в Разлом Между Мирами.\0
89	2	0	1	u,Если вы оплачиваете аккаунт, то при каждом входе в игру время, оставшееся до окончания сервиса, будет выводиться системным сообщением в часах.\0
90	3	0	1	u,Взлом аккаунта означает использование чужого аккаунта в своих целях.\\n Если вы подверглись взлому вашего аккаунта, обратитесь в службу технической поддержки.\0
91	3	0	1	u,В случае взлома аккаунта вам необходимо обратиться в службу технической поддержки.\0
92	3	0	1	u,Групповые задания выполняются в основном в группах. Вы даже можете не убивать монстров, \\n а просто находиться на небольшом расстоянии от членов группы и получать специальные предметы для выполнения заданий.\0
93	3	0	0	u,Обычно аккаунты взламывают запрещенными программами в местах наподобие компьютерных клубов.\\n Также всегда стоит помнить, что стоит хранить в секрете имя и пароль вашего аккаунта.\0
94	3	102	1	u,При расформировании клана игрок, подавший заявку на расформирование, теряет опыт \\n в количестве, как за 1 смерть.\0
95	1	0	1	u,На миникарте отображается место выпадения проклятого меча, либо персонаж, у которого находится этот меч. \\n Нажав, на миникарте кнопку ""След"" вы сможете получить точную информацию по местонахождению владельца проклятого меча.\0
96	1	0	1	u,Нажатием на кнопку увеличения панели быстрого досутпа вы можете увеличить ее на 3 полоски по вертикали либо по горизонтали.\\n Одновременно вы можете видеть до 36 ячеек с действиями на панели быстрого доступа.\0
97	1	0	0	u,Продававшийся путеводитель новичка, теперь можно не покупать. Он совмещен с миникартой и вы можете посмотреть информацию, нажав на кнопку ""Информация о мире"".\\n Путеводители новичка, купленные ранее, вы можете продать обратно в лавку по той же цене, по которой покупали.\0
98	1	0	1	u,В комнате поиска группы можно проверить список игроков, ищущих группу.\\n Даже игроки не являющиеся лидерами групп могут посмотреть этот список и пригласить в комнату группы.\0
99	4	0	1	u,В месте охоты группы из монстров в качестве трофея не выпадают магические травы.\0
100	4	102	1	u,Вы можете зайти в Языческий Храм только во время выполнения квеста ""Truths Beyond the Gate"", а также ""Through the Gate Once More"".\0
101	4	102	1	u,В Лесу Неупокоенных в ночное и в дневное время появляются разные монстры.\0
102	4	102	1	u,Если группа из 6 человек начинает битву в Языческом Храме,\\n то одного человека телепортирует в другое место.\0
103	4	102	1	u,Даже если вы не выполняете квесты связанные со входом в Замок Снежной Королевы, вы можете туда войти, если у вас есть в наличии 10шт. Серебряного Гемоцита.\0
104	4	102	1	u,Для входа в Замок Ice Queen все члены вашей группы должны иметь при себе по 10шт. Silver Hemocytes.\0
105	4	0	1	u,Если зайти в окно настроек и в разделе ""Аудио/Система"" выбрать поле ""Скрыть выпавшие предметы"", \\n то предметы выпавшие из монстров в качестве трофеев не будут видны. Тем самым вы увеличите скорость вашей игры.\0
106	4	0	1	u,На територии Разлом Между Мирами и на Поле Битвы Тьмы, в окне эффектов отображается эффект ""Запрещенная Территория"". Это значит, что во время охоты можно получать опыт, но HP/MP не восстанавливаются до конца. Эта земля забытая самим Богом.\0
107	4	0	1	u,Если нажать на кнопку ""След"", то вы сможете увидеть на миникарте место выпадения проклятого оружия либо местонахождение владельца оружия.\0
108	4	0	1	u,В вверхней правой части экрана отображается окно эффектов. Оно показывает как положительные, так и отрецательные эффекты.\\n Это поможет вам получить более подробную информацию о состоянии персонажа.\0
109	4	0	0	u,Если выбрать опцию ""Следование за персонажем"", то при передвижении персонажа камера будет плавно перемещаться за персонажем.\0
110	4	102	1	u,Если активировать ""GPU анимацию"", то для обработки анимации персонажей в игре используется GPU. \\n Эту опцию желательно использовать в месте скопления большого количества персонажей, например в городе, чтобы увеличить скорость игры.\0
111	4	102	1	u,Клановую академию может создать только лидер клана, поговорив с NPC, которые занимаются кланами (Первосвященник, Великий Мастер, Понтифик и т.д.).\0
112	3	101	1	u,Игрок, являющийся членом академии, при получении второй професии награждается юбилейным подарком. \\n Этот подарок он может получить вместе с предметами, которые выдаются после получения второй профессии.\0
113	4	102	1	u,При поступлении в академию вам присваивается ранг члена академии и его невозможно изменить до окончания академии либо выхода из академии. \\n Игрокам с рангом члена академии разрешается только просматривать хранилище, заходить и пользоваться некоторыми свойствами холла, замка и крепости. \0
114	4	101	1	u,После окончания академии вас автоматически исключат из клана. \\n Но если вы заново вступите в этот клан, вы не получити никакого штрафа.\0
115	4	102	1	u,Имена игроков, имеющих наставников, отображаются в окне клана желтым цветом, \\n а игроки без наставников белым.\0
116	4	102	1	u,Член клана, имеющий права мастера, может выбрать другого члена клана, не являющимся наставником и усатновить его на эту должность. \\n Но наставник и член академии могут заключить договор только друг с другом.\0
117	4	0	1	u,В игре введено сообщение о входе либо выходе из игры наставника и ученика, для большего удобства.\0
118	3	102	1	u,Член академии может получить комплект доспехов D-грейда, выполняя квесты с обычным членом клана.\0
119	4	101	1	u,В случае, если вы покидаете академию, комплект доспехов автоматически снимается.\\n Но, если вы поступаете обратно в академию, вы сможете их одеть.\0
120	3	102	1	u,По достижению 6 уровня клана вы можете создать королевскую стражу и должны уполномочить одного из членов клана на должность управляющего. \\n Максимальное количество королевских стражников 20 человек.\0
121	3	102	1	u,По достижению 7 уровня клана вы можете создать орден рыцарей и должны уполномочить одного члена клана на должность управляющего. \\n Орден рыцарей может иметь 2 военных подразделения в королевской страже по 10 человек.\0
122	4	102	1	u,При необходимости в командире военного подразделения вы можете уполномочить одного из членов клана у NPC, занимающимся делами клана. \\n Командиром клана может стать только член клана, у которого стоит рядом с именем ""Не командир"" в окне информации о клане.\0
123	3	0	1	u,Даже если вы состоите в королевской страже или в оредене рыцарей вы можете участвовать в осаде замка либо в войне кланов на таких же правах, как и ваш клан.\0
124	1	0	1	u,Умения клана могут испльзовать все члены клана, и если вы получите умение,\\n то сможете использовать его до расформирования клана. Но если очки репутации клана меньше 0, то умения никаких эффектов не дают.\0
125	2	101	1	u,Имя персонажа, который атакует другого игрока, становится фиолетовым.\\n Если атаковать игрока с фиолетовым именем, то вы не получаете никакого штрафа. \0
126	4	101	1	u,Во время PvP(игрок против игрока), CP используются в качестве HP.\\n В бою против персонажа, против вызванного существа или против питомца CP расходуются раньше, чем начинают расходоваться HP.\0
127	4	101	1	u,Соулшоты и спиритшоты существуют D, C, B, A, S-грейда и без грейда, поэтому их можно использовать только с оружием, подходящим по уровню.\\n Соулшоты и спиритшоты без грейда вы можете купить в магазине либо создать, используя необходимые материалы с рецептом.\0
128	2	102	1	u,Глава клана может зачислить в ряды королевской стражи или в орден рыцарей любого члена клана, кроме учеников академии.\0
129	3	0	1	u,Если две стороны объявили друг другу войну, то при убийстве члена враждебного клана очки PvP не прибавляются.\\n Во время войны вы можете использовать заклинания и умения на членов враждебного клана.\0
130	4	102	1	u,Персонаж-герой даже при поднятии проклятого оружия может использовать умения героя.\\n После исчезновения проклятого оружия персонаж возвращается в состояние героя.\0
131	4	0	1	u,Если выбрать имя персонажа в комнате поиска группы и нажать кнопку ""Пригласить в комнату группы"", вначале вы создадите комнату группы и\\n выбранному игроку автоматически придет приглашение в комнату гурппы.\0
132	2	0	1	u,При смерти вашего персонажа вы имеете шанс получить штраф за смерть. Его можно вылечить либо свитками восстановления разных грейдов, либо через NPC Черный Судья.\0
133	3	0	1	u,Класс вызывателей может призывать членов группы. Чтобы вас могли призвать вы должны иметь при себе ""Summoning Crystal"".\\n Нельзя призвать членов группы если они находятся на олимпиаде, в бою или мертвые.\0
134	3	101	0	u,Персонажи не выше 39 уровня могут получить благословление новичка.\\n Поговорите с Гидом новичков.\0
135	4	0	1	u,Если вы обмениваете у кузница Маммона оружие одинаковое по рангу, то все улучшения оружия сохраняются.\\n В случае обмена на оружие более высокого грейда, улучшения не сохраняются. Будьте внимательны.\0
136	3	0	1	u,Во время войны семи печатей, период изменения печати происходит в понедельник в 18:00 и монстры в подземелье семи печатей исчезают,\\n но появляются через некоторое время.\0
137	4	102	1	u,Период завоевания холла длится 2 недели, вы можете присоединиться к завоеванию, поговорив с NPC, который находится снаружи холла.\0
138	2	101	1	u,Вы можете получить разнообразную информацию по квестам, локациям и рейдам, открыв карту с помощью клавиш ALT+M, и нажав там на кнопку информация о мире.\0
139	4	101	1	u,Если вы хотите посмотреть доступные комманды, нажмите ALT+X и посмотрите информацию о коммандах в появившемся окне помощи.\0
140	3	101	1	u,Вы можете посмотреть информацию о квестах, которые вы собираетесь выполнять на данный момент, нажав клавиши Alt+U.\0
141	3	0	0	u,Во время покупки нескольких предметов в личной торговой лавке указывайте количество предметов, которые вы хотите купить.\0
142	3	0	1	u,Вы можете купить в лавке престижных товаров в городе Гиран кристаллы души 7-10 уровня.\0
143	3	0	1	u,Не беспокойтесь о потере предметов при смерти. Теперь предметы при смерти теряют только нарушители.\0
144	3	0	1	u,Если вам необходимо дополнить группу, либо заменить члена группы на другого игрока, вам поможет умение ""Призвать Друга"". После использования этого умения призываемый персонаж появится перед вами.\0
145	3	102	1	u,Будьте осторожны при выполнении квеста альянса орков Кетра и Варка.\\n Если атаковать одного из членов альясна, знак альянса исчезает.\0
146	3	102	1	u,Во время олимпиады соревнование внеклассовых персонажей может состояться, только если количество участвующих будет более 9.\\n А в классовых соревнованиях должны участвовать не менее 5 человек.\0
147	2	0	1	u,С 20:00 до 24:00 цена на телепорт у  NPC Гейткипер снижена на 50%, кроме субботы и воскресенья.\0
148	4	102	1	u,Даже если персонаж не состоит в клане, но является дворянином, он может изменить свой титул.\0
149	4	0	1	u,Если во время отмены войны кланов какие-то игроки сражаются, то отменить войну невозможно.\0
150	3	102	1	u,Невозможно участвовать в олимпиаде, если персонаж владеет проклятым оружеем, его класс является подклассом или если персонаж находится в состоянии смерти.\0
151	3	0	1	u,Если вы хотите получить более полную информацию о базовых параметрах, посетите официальный сайт Lineage II.\0
152	4	102	1	u,При улучшении умений, вне зависимости от того, успешно умение или нет, тратится SP и опыт. Книга Кодекс Гигантов нужно только при первом улучшении.\0
153	3	0	1	u,Если использовать свиток благословения, то при смерти во время рейда или убийства босса вы не теряете предметы.\\n Так же вы не получаете штрафа за смерть.\0
154	3	0	0	u,Если использовать свиток Мужества, то при смерти во время осады замка вы не теряете опыт и не получаете штрафа за смерть.\0
155	2	102	0	u,Вы можете поменять оружие грейда B на боевое оружие грейда B.\\n Поменять оружие можно только на боевое оружие.\\n Невозможно поменять боевое оружие на другой тип оружия.\0
156	3	0	1	u,Были внесены изменения, благодаря которым, кристаллы души во время выполнения квеста ""Enhance Your Weapon"" не раскалываются.\\n После использования умения души, есть шанс, что вы получите кристалл души высшего уровня.\0
157	3	0	1	u,Если вы подали заявку на повышение титула в клане, повышение будет одобрено после следующих профилактических работ.\0
158	4	0	1	u,Если посадить в монстра одиночные семена, то по сравнению с обычными семенами шанс их прорастания уменьшается,\\n но при этом из монстров все равно выпадают трофеи.\0
159	3	0	1	u,Параметры можно увеличить с помощью краски до 5,\\n а уменьшение параметров не ограничено.\0
160	4	0	1	u,Информация о предварительном платеже будет выведена на экран, если срок действия предыдущего платежа не закончен.\\n По истечению этого срока сумма будет списана автоматически.\0
161	3	0	1	u,Вы можете записывать вашу игру на видео, набрав комманды ""/Begin Recording"" и ""/End Recording"" либо,\\n нажав клавиши Alt+C, открыть окно действий и нажать на иконку ""Начать запись/Закончить запись"".\0
162	3	0	0	u,Очки репутации клана начинают начисляться только, если клан выше 5 уровня. Если клан во время осады замка или битвы за крепость наложил печать и\\n стал владельцем замка, очки репутации клана не начислаются.\0
163	4	0	1	u,Если в окне опций выбрать ""Enter для входа в чат"", то вы сможете использовать чат только при нажатии клавиши Enter\\n и сможете передвигаться с помощью клавиш W,A,S,D и с помощью стрелок.\0
164	3	0	1	u,Нельзя проводить дуэли в мирной зоне, в зоне, в которой нельзя выполнить рестарт и во время осады замка.\0
165	2	0	1	u,При групповом поединке, если даже один член группы не соответствует правилам, невозможно вызвать на бой или принять бой.\0
166	1	0	1	u,Если вы находитесь в состоянии боя либо вы являетесь нарушителем, невозможно провести дуэль.\0
167	1	0	1	u,Даже если проиграть дуэль или командный бой, то вы не умираете и у вас не исчезают положительные эффекты.\0
168	3	0	1	u,Чтобы не получать заявки на дуэль вы можете активировать опцию ""Автоматически отклонять дуэль"".\0
169	4	0	1	u,На дуэль отводится 2 минуты, а на групповой бой 5 минут, если по истечению времени не объявится победитель или проигравший,\\n бой заканчивается ничьей.\0
170	4	0	1	u,С помощью комманды ""/duel"" вы можете объявить бой другому игроку,\\n а если набрать во время боя комманду ""/withdraw"", то дуэль прекращается.\0
171	2	0	0	u,Если во время дуэли вы атакуете другого персонажа, то цвет вашего имени изменится на фиолетовый и дуэль прекратится.\0
172	4	0	1	u,Если во время дуэли персонаж заходит в зону, в которой нельзя проводить дуэли, то дуэль заканчивается проигрышем того персонажа.\0
173	3	0	1	u,Невозможно принять заявку на дуэль, если вы участвуете в осаде замка либо в олимпиаде.\0
174	2	0	1	u,Если группа подключена к каналу команды и соглашается на групповой бой или отправляет на него заявку, то авотматически отключается от канала команды.\0
175	3	0	1	u,Если группа состоит в листе поиска групп и соглашается на групповой бой или отправляет на него заявку, то автоматически исключается из листа поиска групп.\0
176	3	0	1	u,Если во время боя с другим персонажем ваш питомец умирает, то вы можете его воскресить и восстановить ему потерянный опыт, а призванное существо просто исчезает.\0
177	4	0	1	u,Если вы открыли личную торговую лавку, то вы не можете принять заявку на бой.\0
178	1	0	1	u,Во время боя один на один либо группового боя на вас могут накладывать усиливающие заклинания, но после боя они исчезают.\0
179	3	101	1	u,После прохождения квеста ""Raise the Dead"" вы получите предмет ""Iason Heine’s Bills"", но чтобы получить вознагрождение за это вам необходимо пройти квест ""Black Swan"".\0
180	3	102	1	u,Вы можете отнести Счет Ясона Хайне главному кузнецу Роману во время выполнения квестов ""Raise the Dead"" и ""Black Swan"" и получить вознаграждение.\0
181	1	0	1	u,Для проверки времени необходимого для перезахода в инстанс наберите комманду ""/instancezone"".\0
182	2	102	1	u,Улучшать свойства предметов возможно только, если предмет выше S грейда, но шанс неудачного улучшения появляется с первой попытки улучшить предмет.\\n Вы не получаете никаких штрафов за неудачное улучшение.\0
183	3	102	1	u,После того, как вы принесете Ханелин 3 реликвии и выполните ее просьбу, вы получите белую ткань.\\n После этого вам необходимо еще раз поговорить с Ханелин и решить, что вы будете делать дальше. Только после этого вы сможете поменять белую ткань на окровавленую ткань.\0
184	1	0	1	u,Персонажи ниже 40 уровня могут пользоваться телепортами у Хранителей Порталов бесплатно.\0
185	1	0	1	u,Спасибо за использование моего патча, последние версии Вы всегда можете найти на сайте http://Hellyka.ru.\0
186	2	0	1	u,Патч-русификатор изготовлен AlexSP.\\n Вы можете отблагодарить меня, отправив N-нную сумму на: Z398569331743, R320380266281, Yandex Money 41001453437069 \0
190	2	0	1	u,Если надеть теневой предмет, усиленный каким-либо умением, то оно появится у вас в окне умений.\0
191	1	0	1	u,Невозможно купить платный предмет, если вы находитесь в состоянии обмена, вес инвентаря превышен, либо у вас нет пустых ячеек в инвентаре.\0
