id	hunting_type	level	unk_1	loc_x	loc_y	loc_z	extra	affiliated_area_id	name
36	4	0	0	-91101.00000000	150344.00000000	-3624.00000000	a,	30	u,Гавань Глудина\0
37	3	0	0	-12787.00000000	122779.00000000	-3114.00000000	a,	30	u,Глудио\0
38	1	21	0	-49853.00000000	147089.00000000	-2784.00000000	a,	30	u,Заброшенный Лагерь\0
39	1	24	0	-89763.00000000	105359.00000000	-3576.00000000	a,	30	u,Лагерь Орков\0
40	2	27	0	-53001.00000000	191425.00000000	-3568.00000000	a,	30	u,Забытый Храм\0
41	7	0	0	-57798.00000000	127629.00000000	-2928.00000000	a,	30	u,Озеро Фельмер\0
42	6	0	0	-87328.00000000	142266.00000000	-3640.00000000	a,	30	u,Арена Глудина\0
43	3	0	0	-18341.00000000	113946.00000000	-1268.00000000	a,	30	u,Замок Глудио\0
44	1	26	0	-88539.00000000	83389.00000000	-2864.00000000	a,	30	u,Холм Ветров\0
45	1	30	0	-44829.00000000	188171.00000000	-3256.00000000	a,	30	u,Подножье Горы\0
46	1	16	0	-44763.00000000	203497.00000000	-3592.00000000	a,	30	u,Поселение Ящеров Лангк\0
47	1	24	0	-25283.00000000	106820.00000000	-3416.00000000	a,	30	u,Лагерь Ящеров Мэль\0
48	7	0	0	-84141.00000000	244623.00000000	-3729.00000000	a,	30	u,Говорящий Остров\0
49	3	0	0	-84141.00000000	244623.00000000	-3729.00000000	a,	30	u,Деревня Говорящего Острова\0
50	3	0	0	-72674.00000000	256819.00000000	-3112.00000000	a,	30	u,Школа Седрика\0
51	3	0	0	-89041.00000000	248907.00000000	-3568.00000000	a,	30	u,Школа Магов Айнховант\0
52	7	0	0	-99586.00000000	237637.00000000	-3568.00000000	a,	30	u,Обелиск Победы\0
53	2	9	0	-112367.00000000	234703.00000000	-3688.00000000	a,	30	u,Эльфийские Руины\0
54	4	0	0	-96811.00000000	259153.00000000	-3616.00000000	a,	30	u,Гавань Говорящего Острова\0
55	1	8	0	-104344.00000000	226217.00000000	-3616.00000000	a,	30	u,Говорящий Остров (север)\0
56	1	1	0	-95336.00000000	240478.00000000	-3264.00000000	a,	30	u,Говорящий Остров (восток)\0
57	1	17	0	-63736.00000000	101522.00000000	-3552.00000000	a,	30	u,Охотничьи Угодья Фельмер\0
58	1	15	0	-75437.00000000	168800.00000000	-3632.00000000	a,	30	u,Холм Ветряных Мельниц\0
59	1	19	0	-50174.00000000	129303.00000000	-2912.00000000	a,	30	u,Вход в Руины Страданий\0
60	1	14	0	-6989.00000000	109503.00000000	-3040.00000000	a,	30	u,Охотничьи Угодья Зла\0
61	1	19	0	-36652.00000000	135591.00000000	-3160.00000000	a,	30	u,Вход в Руины Отчаяния\0
62	1	22	0	-28327.00000000	155125.00000000	-3496.00000000	a,	30	u,Поместье Виндавуд\0
63	1	22	0	-6661.00000000	201880.00000000	-3632.00000000	a,	30	u,Застава Гноллов\0
64	2	36	0	-26489.00000000	195307.00000000	-3928.00000000	a,	30	u,Муравьиный Инкубатор\0
65	7	0	0	-111728.00000000	244330.00000000	-3448.00000000	a,	30	u,Поющий Водопад\0
66	1	15	0	-10612.00000000	75881.00000000	-3592.00000000	a,	30	u,Нейтральная Зона\0
67	0	0	0	0.00000000	0.00000000	0.00000000	a,	67	u,Земли Орена\0
68	1	8	0	21362.00000000	51122.00000000	-3688.00000000	a,	67	u,Эльфийский Лес\0
69	1	1	0	50953.00000000	42105.00000000	-3480.00000000	a,	67	u,Тень Древа Жизни\0
70	3	0	0	46951.00000000	51550.00000000	-2976.00000000	a,	67	u,Эльфийская Деревня\0
71	2	10	0	29294.00000000	74968.00000000	-3776.00000000	a,	67	u,Эльфийская Крепость\0
72	7	0	0	51469.00000000	82600.00000000	-3312.00000000	a,	67	u,Радужное Озеро\0
73	1	8	0	-22224.00000000	14168.00000000	-3232.00000000	a,	67	u,Темный Лес\0
74	3	0	0	25934.00000000	11037.00000000	-3720.00000000	a,	67	u,Храм Шилен\0
75	3	0	0	9709.00000000	15566.00000000	-4500.00000000	a,	67	u,Деревня Темных Эльфов\0
76	2	10	0	-47543.00000000	58478.00000000	-3336.00000000	a,	67	u,Школа Темной Магии\0
77	1	13	0	-21966.00000000	40544.00000000	-3192.00000000	a,	67	u,Топи\0
78	7	0	0	-44566.00000000	77508.00000000	-3736.00000000	a,	67	u,Церемониальный алтарь\0
79	1	40	0	64328.00000000	26803.00000000	-3768.00000000	a,	67	u,Море Спор\0
80	5	0	0	87091.00000000	-20354.00000000	-2072.00000000	a,	67	u,Лагерь Разбойников\0
81	3	0	0	85391.00000000	16228.00000000	-3640.00000000	a,	67	u,Башня Слоновой Кости\0
82	3	0	0	82971.00000000	53207.00000000	-1470.00000000	a,	67	u,Орен\0
83	3	0	0	78189.00000000	36936.00000000	-2560.00000000	a,	67	u,Замок Орен\0
84	1	83	0	87252.00000000	85514.00000000	-3103.00000000	a,	67	u,Долина Ящеров\0
85	1	83	0	84517.00000000	62538.00000000	-3480.00000000	a,	67	u,Школа Полномочий\0
86	1	1	0	23863.00000000	11068.00000000	-3720.00000000	a,	67	u,Сад Шилен\0
87	1	13	0	-29466.00000000	66678.00000000	-3496.00000000	a,	67	u,Холм Черного Камня\0
88	1	16	0	-61095.00000000	75104.00000000	-3383.00000000	a,	67	u,Гнездо Пауков\0
89	1	40	0	67097.00000000	68815.00000000	-3648.00000000	a,	67	u,Застава Тимак\0
90	1	40	0	85391.00000000	16228.00000000	-3640.00000000	a,	67	u,Кратер Башни Слоновой Кости\0
91	1	45	0	93218.00000000	16969.00000000	-3904.00000000	a,	67	u,Лес Зла\0
92	1	50	0	91539.00000000	-12204.00000000	-2440.00000000	a,	67	u,Лес Разбойников\0
93	7	0	0	61740.00000000	94946.00000000	-1488.00000000	a,	67	u,Туманные Горы\0
94	7	0	0	58502.00000000	53453.00000000	-3624.00000000	a,	67	u,Водопад Звездного Сияния\0
95	7	0	0	-7233.00000000	57006.00000000	-3520.00000000	a,	67	u,Водопад Ундины\0
96	7	0	0	70456.00000000	6591.00000000	-3632.00000000	a,	67	u,Водопад Богов\0
97	0	0	0	0.00000000	0.00000000	0.00000000	a,	97	u,Аден\0
98	2	60	0	114649.00000000	11115.00000000	-5120.00000000	a,	97	u,Башня Дерзости\0
99	1	65	0	155310.00000000	-16339.00000000	-3320.00000000	a,	97	u,Раскаленные Топи\0
100	5	0	0	178358.00000000	-14192.00000000	-2256.00000000	a,	97	u,Разоренный Замок\0
101	1	60	0	188611.00000000	20588.00000000	-3696.00000000	a,	97	u,Запретные Врата\0
102	2	80	0	181737.00000000	46469.00000000	-4276.00000000	a,	97	u,Пещера Гигантов\0
103	1	45	0	124904.00000000	61992.00000000	-3973.00000000	a,	97	u,Волшебная Долина\0
104	1	50	0	167047.00000000	20304.00000000	-3328.00000000	a,	97	u,Кладбище\0
105	1	40	0	142065.00000000	81300.00000000	-3000.00000000	a,	97	u,Лес Зеркал\0
106	7	0	0	166182.00000000	91560.00000000	-3168.00000000	a,	97	u,Ангельский Водопад\0
107	3	0	0	146783.00000000	25808.00000000	-2000.00000000	a,	97	u,Город Аден\0
108	3	0	0	117088.00000000	76931.00000000	-2670.00000000	a,	97	u,Деревня Охотников\0
109	7	0	0	158141.00000000	-24543.00000000	-1288.00000000	a,	97	u,Восточная Пограничная Застава\0
110	6	0	0	146440.00000000	46723.00000000	-3400.00000000	a,	97	u,Колизей\0
111	7	0	0	146440.00000000	46723.00000000	-3400.00000000	a,	97	u,Озеро Нарсилл\0
112	3	0	0	147461.00000000	9898.00000000	-592.00000000	a,	97	u,Замок Аден\0
113	1	64	0	106517.00000000	-2871.00000000	-3454.00000000	a,	97	u,Древнее Поле Битвы\0
114	1	55	0	168217.00000000	37990.00000000	-4072.00000000	a,	97	u,Забытые Равнины\0
115	1	74	0	170838.00000000	55776.00000000	-5280.00000000	a,	97	u,Долина Безмолвия\0
116	1	40	0	114306.00000000	86573.00000000	-3112.00000000	a,	97	u,Долина Охотников\0
117	1	45	0	135580.00000000	19467.00000000	-3424.00000000	a,	97	u,Равнины Славы\0
118	1	55	0	183543.00000000	-14974.00000000	-2768.00000000	a,	97	u,Поле Брани\0
119	1	45	0	156898.00000000	11217.00000000	-4032.00000000	a,	97	u,Равнины Неистовства\0
120	7	0	0	112405.00000000	-16607.00000000	-1864.00000000	a,	97	u,Западная Пограничная Застава\0
121	0	0	0	0.00000000	0.00000000	0.00000000	a,	121	u,Земли Иннадрила\0
122	1	83	0	91088.00000000	182384.00000000	-3192.00000000	a,	121	u,Поля Безмолвия\0
123	1	83	0	74592.00000000	207656.00000000	-3032.00000000	a,	121	u,Шепчущие Поля\0
124	2	40	0	84413.00000000	234334.00000000	-3656.00000000	a,	121	u,Сады Богини Евы\0
125	1	40	0	115583.00000000	192261.00000000	-3488.00000000	a,	121	u,Остров Аллигаторов\0
126	3	0	0	111455.00000000	219400.00000000	-3546.00000000	a,	121	u,Хейн\0
127	3	0	0	115988.00000000	246899.00000000	-976.00000000	a,	121	u,Замок Иннадрил\0
128	1	38	0	116267.00000000	201177.00000000	-3432.00000000	a,	121	u,Пляж Аллигаторов\0
129	6	0	0	12443.00000000	183467.00000000	-3560.00000000	a,	1	u,Арена Диона\0
130	3	0	0	-55699.00000000	-114967.00000000	2528.00000000	a,	138	u,Храм Паагрио\0
131	3	0	0	-45158.00000000	-112583.00000000	-236.00000000	a,	138	u,Деревня Орков\0
132	7	0	0	-8830.00000000	-119289.00000000	424.00000000	a,	138	u,Плато Бессмертия\0
133	2	10	0	9340.00000000	-112509.00000000	-2536.00000000	a,	138	u,Пещера Испытаний\0
134	7	0	0	8652.00000000	-139941.00000000	-1144.00000000	a,	138	u,Замерзший Водопад\0
135	1	1	0	-39347.00000000	-107274.00000000	-2072.00000000	a,	138	u,Долина Героев\0
136	1	8	0	-10983.00000000	-117484.00000000	-2464.00000000	a,	138	u,Плато Бессмертия (север)\0
137	1	18	0	-4190.00000000	-80040.00000000	-2696.00000000	a,	138	u,Плато Бессмертия (юг)\0
138	0	0	0	0.00000000	0.00000000	0.00000000	a,	138	u,Земли Шутгарта\0
139	7	0	0	106561.00000000	-173949.00000000	-400.00000000	a,	138	u,Рудник Возрождения\0
140	3	0	0	115120.00000000	-178224.00000000	-917.00000000	a,	138	u,Деревня Гномов\0
141	7	0	0	147493.00000000	-200840.00000000	192.00000000	a,	138	u,Горный Хребет\0
142	2	10	0	139714.00000000	-177456.00000000	-1536.00000000	a,	138	u,Заброшенный Угольный Рудник\0
143	2	81	0	171946.00000000	-173352.00000000	3440.00000000	a,	138	u,Мифриловый Рудник\0
144	1	1	0	112971.00000000	-174924.00000000	-608.00000000	a,	138	u,Замерзшая Долина\0
145	1	8	0	128527.00000000	-204036.00000000	-3408.00000000	a,	138	u,Западные Рудники\0
146	1	18	0	175836.00000000	-205837.00000000	-3384.00000000	a,	138	u,Восточные Рудники\0
147	7	0	0	113826.00000000	-171150.00000000	-160.00000000	a,	138	u,Проход к Рудникам\0
148	1	30	0	111965.00000000	-154172.00000000	-1528.00000000	a,	138	u,Разграбленные Равнины\0
149	1	53	0	113903.00000000	-108752.00000000	-884.00000000	a,	138	u,Ледяной Лабиринт\0
150	1	57	0	102728.00000000	-126242.00000000	-2840.00000000	a,	138	u,Сад Фреи\0
151	1	73	0	91280.00000000	-117152.00000000	-3952.00000000	a,	138	u,Заброшенная Мастерская\0
152	7	0	0	76021.00000000	-110477.00000000	-1704.00000000	a,	138	u,Проход Карона\0
153	1	81	0	68693.00000000	-110438.00000000	-1946.00000000	a,	138	u,Логово Зла\0
154	1	80	0	47692.00000000	-115745.00000000	-3744.00000000	a,	138	u,Склепы Позора\0
155	7	0	0	32173.00000000	-122954.00000000	-792.00000000	a,	138	u,Долина Лордов\0
156	3	0	0	77630.00000000	-150885.00000000	368.00000000	a,	138	u,Замок Шутгарт\0
157	3	0	0	87056.00000000	-143472.00000000	-1296.00000000	a,	138	u,Шутгарт\0
158	2	72	0	90418.00000000	-107317.00000000	-3328.00000000	a,	138	u,Древняя Лаборатория\0
159	7	0	0	107577.00000000	-122392.00000000	-3632.00000000	a,	138	u,Замерзшее Озеро\0
160	1	39	0	121618.00000000	-141554.00000000	-1496.00000000	a,	138	u,Руины Воздушной Дороги\0
161	2	21	0	-41184.00000000	206752.00000000	-3357.00000000	a,	30	u,Жертвенный Некрополь\0
162	2	60	0	-56064.00000000	78720.00000000	-3011.00000000	a,	67	u,Молитвенный Некрополь\0
163	2	52	0	-25472.00000000	77728.00000000	-3446.00000000	a,	30	u,Некрополь Повстанцев\0
164	2	72	0	-22480.00000000	13872.00000000	-3174.00000000	a,	67	u,Катакомбы Темного Пророчества\0
165	2	42	0	43200.00000000	170688.00000000	-3251.00000000	a,	16	u,Катакомбы Отлученных\0
166	2	30	0	39232.00000000	143568.00000000	-3651.00000000	a,	1	u,Катакомбы Еретиков\0
167	2	32	0	45600.00000000	126944.00000000	-3686.00000000	a,	1	u,Некрополь Пилигримов\0
168	2	70	0	79296.00000000	209584.00000000	-3709.00000000	a,	121	u,Некрополь Святых\0
169	2	42	0	107514.00000000	174329.00000000	-3704.00000000	a,	121	u,Некрополь Послушников\0
170	2	65	0	114496.00000000	132416.00000000	-3101.00000000	a,	16	u,Некрополь Мучеников\0
171	2	51	0	74672.00000000	78032.00000000	-3398.00000000	a,	67	u,Катакомбы Отступников\0
172	2	72	0	110912.00000000	84912.00000000	-4816.00000000	a,	97	u,Катакомбы Запретного Пути\0
173	2	60	0	136672.00000000	79328.00000000	-3702.00000000	a,	97	u,Катакомбы Ведьм\0
174	2	70	0	168560.00000000	-17968.00000000	-3174.00000000	a,	97	u,Некрополь Апостолов\0
175	2	0	0	-79184.00000000	111952.00000000	-4897.00000000	a,	179	u,Оракул Рассвета\0
176	2	0	0	-80208.00000000	87120.00000000	-5153.00000000	a,	179	u,Оракул Заката\0
177	2	30	0	0.00000000	0.00000000	0.00000000	a,	179	u,Разлом Между Мирами\0
178	6	0	0	-21453.00000000	-21058.00000000	-3024.00000000	a,	179	u,Олимпийский Стадион\0
179	0	0	0	0.00000000	0.00000000	0.00000000	a,	179	u,Пограничье\0
180	0	0	0	0.00000000	0.00000000	0.00000000	a,	180	u,Земли Годдарда\0
181	3	0	0	148024.00000000	-55281.00000000	-2728.00000000	a,	180	u,Годдард\0
182	3	0	0	147450.00000000	-47331.00000000	-496.00000000	a,	180	u,Замок Годдард\0
183	1	67	0	132997.00000000	-60608.00000000	-2960.00000000	a,	180	u,Сад Чудовищ\0
184	1	73	0	144880.00000000	-113468.00000000	-2560.00000000	a,	180	u,Горячие Источники\0
185	5	0	0	139997.00000000	-124860.00000000	-1896.00000000	a,	180	u,Дворец Радужных Источников\0
186	2	78	0	168902.00000000	-116703.00000000	-2417.00000000	a,	180	u,Кузница Богов\0
187	2	80	0	189964.00000000	-116820.00000000	-1624.00000000	a,	180	u,Зал Пламени\0
188	2	85	0	215378.00000000	-116635.00000000	-1608.00000000	a,	180	u,Логово Валакаса\0
189	1	77	0	146990.00000000	-67128.00000000	-3640.00000000	a,	180	u,Застава Орков Кетра\0
190	3	0	0	149548.00000000	-82014.00000000	-5592.00000000	a,	180	u,Деревня Орков Кетра\0
191	2	76	0	186699.00000000	-75915.00000000	-2826.00000000	a,	180	u,Гробница Императоров\0
192	7	0	0	168982.00000000	-86455.00000000	-3007.00000000	a,	180	u,Храм Паломников\0
193	1	68	0	165054.00000000	-47861.00000000	-3560.00000000	a,	180	u,Стена Аргоса\0
194	1	73	0	190112.00000000	-61776.00000000	-2944.00000000	a,	180	u,Усыпальница Верности\0
195	1	77	0	125740.00000000	-40864.00000000	-3736.00000000	a,	180	u,Лагерь Фавнов Варка\0
196	3	0	0	108155.00000000	-53670.00000000	-2472.00000000	a,	180	u,Деревня Фавнов Варка\0
197	2	83	0	178127.00000000	-84435.00000000	-7215.00000000	a,	180	u,Четыре Гробницы\0
198	1	60	0	106349.00000000	-61870.00000000	-2904.00000000	a,	180	u,Ущелье Дьявола\0
199	2	80	0	174141.00000000	-88685.00000000	-5112.00000000	a,	180	u,Гробница Последнего Императора\0
200	0	0	0	0.00000000	0.00000000	0.00000000	a,	200	u,Земли Руны\0
201	3	0	0	43835.00000000	-47749.00000000	-792.00000000	a,	200	u,Руна\0
202	3	0	0	14659.00000000	-49230.00000000	-160.00000000	a,	200	u,Замок Руна\0
203	4	0	0	36839.00000000	-38435.00000000	-3640.00000000	a,	200	u,Гавань Руны\0
204	7	0	0	40723.00000000	-94881.00000000	-2096.00000000	a,	200	u,Водопад Хвост Ветра\0
205	1	83	0	43805.00000000	-88010.00000000	-2780.00000000	a,	200	u,Ферма Диких Зверей\0
206	5	0	0	55133.00000000	-93217.00000000	-1360.00000000	a,	200	u,Загон Диких Зверей\0
207	1	60	0	65797.00000000	-71510.00000000	-3744.00000000	a,	200	u,Долина Святых\0
208	1	63	0	52107.00000000	-54328.00000000	-3158.00000000	a,	200	u,Лес Неупокоенных\0
209	3	0	0	57670.00000000	-41672.00000000	-3154.00000000	a,	200	u,Проклятая Деревня\0
210	5	0	0	57966.00000000	-28378.00000000	584.00000000	a,	200	u,Крепость Неупокоенных\0
211	1	66	0	69340.00000000	-50203.00000000	-3314.00000000	a,	200	u,Болото Криков\0
212	2	80	0	106414.00000000	-87799.00000000	-2949.00000000	a,	200	u,Монастырь Безмолвия\0
213	2	81	0	35630.00000000	-49748.00000000	-760.00000000	a,	200	u,Языческий Храм\0
214	2	82	0	88969.00000000	-45307.00000000	-2112.00000000	a,	200	u,Гнездо Стакато\0
215	4	0	0	111418.00000000	225960.00000000	-3624.00000000	a,	121	u,Пристань Паромов\0
216	7	0	0	113750.00000000	-109163.00000000	-832.00000000	a,	138	u,Хижина Торговца Льдом\0
217	7	0	0	126272.00000000	-159336.00000000	-1232.00000000	a,	138	u,Бандитская Твердыня\0
218	1	83	0	8480.00000000	-14624.00000000	-3693.00000000	a,	200	u,Первобытный Остров\0
219	4	0	0	10448.00000000	-24960.00000000	-3664.00000000	a,	200	u,Пристань Первобытного Острова\0
220	7	0	0	26240.00000000	-7840.00000000	-1972.00000000	a,	200	u,Логово Сэйлрена\0
234	1	78	0	145159.00000000	189247.00000000	-3756.00000000	a,	121	u,Кристальный Остров\0
235	2	81	0	143203.00000000	148824.00000000	-12004.00000000	a,	121	u,Хрустальный Лабиринт\0
236	1	82	0	148444.00000000	160914.00000000	-3102.00000000	a,	121	u,Цветное Нагорье\0
237	2	81	0	148838.00000000	179183.00000000	-6009.00000000	a,	121	u,Особняк Темного Облака\0
238	7	0	0	160074.00000000	167893.00000000	-3538.00000000	a,	121	u,Коралловый Риф\0
239	7	0	0	149532.00000000	1772243.00000000	-610.00000000	a,	121	u,Парнас\0
240	2	82	0	144697.00000000	147492.00000000	-12159.00000000	a,	121	u,Перламутровый Зал\0
241	2	82	0	149948.00000000	150300.00000000	-12170.00000000	a,	121	u,Огненный коридор\0
242	2	83	0	141135.00000000	149911.00000000	-11840.00000000	a,	121	u,Подводный Сад\0
243	1	1	0	-121436.00000000	56288.00000000	-1586.00000000	a,	97	u,Остров Душ\0
244	3	1	0	-118070.00000000	45956.00000000	420.00000000	a,	97	u,Деревня Камаэль\0
245	3	0	0	-86961.00000000	43356.00000000	-2680.00000000	a,	97	u,Подземелье Норнил\0
246	2	15	0	-84728.00000000	60089.00000000	-2576.00000000	a,	97	u,Сад Норнил\0
247	7	15	0	-123842.00000000	38117.00000000	1176.00000000	a,	97	u,Пещера Душ\0
248	1	12	0	-103032.00000000	46457.00000000	-1136.00000000	a,	97	u,Лес Мимира\0
249	1	13	0	-116114.00000000	87005.00000000	-3544.00000000	a,	97	u,Золотые Холмы\0
250	3	0	0	16732.00000000	188294.00000000	-2760.00000000	a,	1	u,Крепость Улья\0
251	3	0	0	5317.00000000	149746.00000000	-2728.00000000	a,	1	u,Крепость Флорана\0
252	3	0	0	60342.00000000	139723.00000000	-1592.00000000	a,	1	u,Крепость Танор\0
253	3	0	0	126082.00000000	123622.00000000	-2424.00000000	a,	16	u,Драконья Крепость\0
254	3	0	0	-53034.00000000	156482.00000000	-1896.00000000	a,	30	u,Укрепленный Лагерь\0
255	3	0	0	-22429.00000000	219895.00000000	-3072.00000000	a,	30	u,Южная Крепость  Глудио\0
256	3	0	0	72606.00000000	4413.00000000	-2888.00000000	a,	67	u,Крепость Слоновой Кости\0
257	3	0	0	-53234.00000000	91513.00000000	-2664.00000000	a,	67	u,Крепость Туманных Гор\0
258	3	0	0	11535.00000000	95277.00000000	-3264.00000000	a,	67	u,Крепость Черепахи\0
259	3	0	0	79503.00000000	91179.00000000	-2720.00000000	a,	67	u,Крепость Антараса\0
260	3	0	0	111368.00000000	-14851.00000000	-832.00000000	a,	67	u,Западная Крепость\0
261	3	0	0	154613.00000000	55391.00000000	-3096.00000000	a,	97	u,Крепость Нарсилл\0
262	3	0	0	189828.00000000	40014.00000000	-3248.00000000	a,	97	u,Крепость Гигантов\0
263	3	0	0	125250.00000000	95423.00000000	-1976.00000000	a,	97	u,Крепость Охотников\0
264	3	0	0	118659.00000000	205047.00000000	-3176.00000000	a,	121	u,Крепость Белых Песков\0
265	3	0	0	72959.00000000	186218.00000000	-2424.00000000	a,	121	u,Крепость Аару\0
266	3	0	0	109203.00000000	-141149.00000000	-2800.00000000	a,	138	u,Заснеженная Крепость\0
267	3	0	0	158920.00000000	-70150.00000000	-2704.00000000	a,	180	u,Крепость Пограничья\0
268	3	0	0	100429.00000000	-55316.00000000	-488.00000000	a,	180	u,Крепость Демона\0
269	3	0	0	69955.00000000	-61163.00000000	-2624.00000000	a,	200	u,Крепость Болота\0
270	3	0	0	72269.00000000	-94495.00000000	-1264.00000000	a,	200	u,Крепость Монахов\0
271	2	0	0	19714.00000000	243420.00000000	-205.00000000	a,	30	u,Стальная Цитадель\0
272	1	0	0	27491.00000000	247340.00000000	-3256.00000000	a,	30	u,Аномическая Литейная\0
273	1	0	0	-23517.00000000	244622.00000000	-3136.00000000	a,	30	u,Волшебные Мегалиты\0
274	7	0	0	-20181.00000000	250693.00000000	-3248.00000000	a,	30	u,Затерянный Оазис\0
275	1	0	0	-26781.00000000	255525.00000000	-1952.00000000	a,	30	u,Развалины Древнего Храма\0
276	1	0	0	-16989.00000000	253858.00000000	-3360.00000000	a,	30	u,Песчаные Дюны\0
277	7	0	0	-4745.00000000	255654.00000000	-3128.00000000	a,	30	u,Лагерь Каравана\0
278	1	0	0	-6295.00000000	242330.00000000	-2048.00000000	a,	30	u,Каменоломни Ада\0
279	1	0	0	3288.00000000	236080.00000000	-3400.00000000	a,	30	u,Разоренные Земли\0
280	1	0	0	3636.00000000	243372.00000000	-2000.00000000	a,	30	u,Застава Стальной Цитадели\0
282	2	0	0	16882.00000000	238952.00000000	9776.00000000	a,	30	u,Башня Вечности\0
283	2	0	0	20886.00000000	244088.00000000	11062.00000000	a,	30	u,Мастерская Тулли\0
284	2	0	0	16798.00000000	244263.00000000	11616.00000000	a,	30	u,Башня Найи\0
285	0	0	0	0.00000000	0.00000000	0.00000000	a,	285	u,Земли Румварса\0
286	3	0	0	0.00000000	0.00000000	0.00000000	a,	285	u,База Альянса Кецеруса\0
287	7	0	0	0.00000000	0.00000000	0.00000000	a,	285	u,Зал Шилен\0
288	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	u,Семя Разрушения\0
289	7	0	0	0.00000000	0.00000000	0.00000000	a,	285	u,Гавань Тайны\0
290	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	u,Врата Разрушения\0
291	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	u,Центральная Площадь\0
292	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	u,Ущелье Дозорных\0
293	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	u,Крепость Разрушения\0
294	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	u,Трон Дракона\0
295	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	u,Семя Бессмертия\0
296	7	0	0	0.00000000	0.00000000	0.00000000	a,	285	u,Врата Смерти\0
297	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	u,Зал Страданий\0
298	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	u,Зал Гибели\0
299	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	u,Источник Бессмертия\0
300	6	0	0	0.00000000	0.00000000	0.00000000	a,	285	u,Расщелина\0
