name	id_mk	id_recipe	level	id_item	count	mp_cost	success_rate	materials_cnt	materials_extra	materials_m[0]_id	materials_m[0]_cnt	materials_m[1]_id	materials_m[1]_cnt	materials_m[2]_id	materials_m[2]_cnt	materials_m[3]_id	materials_m[3]_cnt	materials_m[4]_id	materials_m[4]_cnt	materials_m[5]_id	materials_m[5]_cnt	materials_m[6]_id	materials_m[6]_cnt	materials_m[7]_id	materials_m[7]_cnt	materials_m[8]_id	materials_m[8]_cnt	materials_m[9]_id	materials_m[9]_cnt	materials_m[10]_id	materials_m[10]_cnt
a,mk_soulshot_c\0	21	1805	4	1464	952	84	100	2	0	1785	30	1459	2																		
a,mk_soulshot_b\0	22	1806	6	1465	450	100	100	2	0	1785	54	1460	1																		
a,mk_soulshot_a\0	23	1807	7	1466	300	120	100	2	0	1785	36	1461	1																		
a,mk_soulshot_s\0	24	1808	8	1467	350	150	100	2	0	1785	40	1462	1																		
a,mk_leather\0	25	1814	1	1882	1	10	100	1	0	1867	6																				
a,mk_cord\0	26	1817	2	1884	20	20	100	2	0	1880	2	1868	25																		
a,mk_oriharukon\0	27	1825	4	1893	1	40	100	3	0	1888	1	1873	12	1874	4																
a,mk_braided_hemp\0	28	2135	1	1878	1	10	100	1	0	1864	5																				
a,mk_cokes\0	29	2136	1	1879	1	10	100	2	0	1870	3	1871	3																		
a,mk_steel\0	30	2137	1	1880	1	10	100	2	0	1865	5	1869	5																		
a,mk_coarse_bone_powder\0	31	2138	1	1881	1	10	100	1	0	1872	10																				
a,mk_steel_mold\0	32	2139	2	1883	1	20	100	3	0	1878	5	1869	5	1870	5																
a,mk_high_grade_suede\0	33	2140	2	1885	1	20	100	2	0	1881	1	1866	3																		
a,mk_silver_mold\0	34	2141	2	1886	1	20	100	3	0	1878	5	1879	5	1873	10																
a,mk_varnish_of_purity\0	35	2142	2	1887	1	20	100	3	0	1881	3	1865	3	1875	1																
a,mk_synthesis_cokes\0	36	2143	2	1888	1	20	100	2	0	1879	3	1874	1																		
a,mk_compound_braid\0	37	2144	2	1889	1	20	100	2	0	1878	5	1868	5																		
a,mk_mithirl_alloy\0	38	2145	4	1890	1	40	100	3	0	1887	1	1880	2	1876	1																
a,mk_artisan's_frame\0	39	2146	4	1891	1	40	100	3	0	1883	1	1887	5	1877	10																
a,mk_blacksmith's_frame\0	40	2147	4	1892	1	40	100	3	0	1886	1	1887	5	1876	10																
a,mk_crafted_leather\0	41	2148	4	1894	1	40	100	3	0	1884	4	1882	4	1870	4																
a,mk_metallic_fiber\0	42	2149	4	1895	20	40	100	2	0	1884	20	1873	15																		
a,mk_blue_diamond_necklace\0	43	2150	1	909	1	72	100	3	0	1898	3	1864	80	1865	16																
a,mk_necklace_of_devotion\0	44	2151	2	910	1	84	100	5	0	1899	4	1886	1	1878	15	1865	3	2130	2												
a,mk_enchanted_necklace\0	45	2152	2	911	1	96	100	6	0	1900	5	1886	1	1878	15	1865	3	1458	18	2130	3										
a,mk_tiger'seye_earing\0	46	2153	3	849	1	108	100	6	0	1901	6	1886	1	1884	30	1865	6	1458	22	2130	4										
a,mk_elven_earing\0	47	2154	3	850	1	120	100	6	0	1902	7	1886	1	1884	60	1865	12	1458	30	2130	6										
a,mk_elven_ring\0	48	2155	3	881	1	120	100	6	0	1903	7	1886	1	1884	30	1865	6	1458	20	2130	4										
a,mk_elven_necklace\0	49	2156	3	913	1	120	100	6	0	1904	7	1886	1	1878	70	1865	14	1458	38	2130	9										
a,mk_onyxbeast'seye_earing\0	50	2157	4	851	1	129	100	6	0	1905	8	1886	1	1884	90	1865	18	1458	40	2130	8										
a,mk_mithril_ring\0	51	2158	4	882	1	129	100	6	0	1906	8	1886	1	1884	50	1865	10	1458	25	2130	5										
a,mk_necklace_of_darkness\0	52	2159	4	914	1	129	100	6	0	1907	8	1886	1	1878	90	1865	18	1458	50	2130	12										
a,mk_moonstone_earing\0	53	2160	4	852	1	138	100	6	0	1908	8	1892	1	1895	5	1887	1	1458	30	2131	4										
a,mk_aquastone_ring\0	54	2161	4	883	1	138	100	6	0	1909	8	1886	1	1895	15	1887	3	1458	25	2131	2										
a,mk_aquastone_necklace\0	55	2162	4	915	1	138	100	6	0	1910	8	1892	1	1889	5	1887	1	1458	65	2131	5										
a,mk_earing_of_protection\0	56	2163	5	853	1	147	100	6	0	1911	9	1892	1	1895	5	1887	1	1459	14	2131	5										
a,mk_ring_of_protection\0	57	2164	5	884	1	147	100	6	0	1912	9	1886	1	1895	15	1887	3	1459	10	2131	3										
a,mk_necklace_of_protection\0	58	2165	5	916	1	147	100	6	0	1913	9	1892	1	1889	10	1887	2	1459	16	2131	7										
a,mk_earing_of_binding\0	59	2166	5	854	1	156	100	6	0	1914	10	1892	1	1895	20	1887	4	1459	22	2131	8										
a,mk_ring_of_ages\0	60	2167	5	885	1	156	100	6	0	1915	10	1886	1	1895	30	1887	6	1459	12	2131	5										
a,mk_necklace_of_mermaid\0	61	2168	5	917	1	156	100	6	0	1916	10	1892	1	1889	20	1887	4	1459	26	2131	11										
a,mk_necklace_of_binding\0	62	2169	6	119	1	165	100	6	0	1920	11	1892	1	1889	35	1887	7	1459	38	2131	16										
a,mk_nassen's_earing\0	63	2170	6	855	1	165	100	6	0	1918	11	1892	1	1895	45	1887	9	1459	28	2131	12										
a,mk_ring_of_sage\0	64	2171	7	891	1	183	100	8	0	2171	1	1919	13	1892	1	1895	50	1887	10	4044	10	1460	18	2132	4						
a,mk_sage's_necklace\0	65	2172	7	922	1	183	100	8	0	2172	1	1917	13	4048	1	1889	55	1887	11	4044	11	1460	37	2132	8						
a,mk_hard_leather_shirt\0	66	2173	1	27	1	72	100	3	0	1927	3	1867	110	1868	55																
a,mk_hard_leather_gaiters\0	67	2174	1	33	1	72	100	3	0	1929	3	1867	55	1868	55																
a,mk_boots\0	68	2175	1	39	1	72	100	3	0	1930	3	1867	40	1866	5																
a,mk_leather_boots\0	69	2176	2	40	1	84	100	4	0	1931	4	1882	8	1885	1	2130	1														
a,mk_bone_helmet\0	70	2177	2	45	1	84	100	4	0	1932	4	1883	1	1882	15	2130	2														
a,mk_dark_hose\0	71	2178	2	467	1	96	100	5	0	1933	5	1882	20	1884	20	1458	20	2130	4												
a,mk_excellence_leather_gloves\0	72	2179	2	604	1	84	100	4	0	1934	4	1882	8	1885	1	2130	1														
a,mk_scale_mail\0	73	2180	2	348	1	96	100	5	0	1935	5	1883	3	1880	20	1458	40	2130	9												
a,mk_white_tunic\0	74	2181	2	434	1	96	100	5	0	1936	5	1882	40	1884	20	1458	28	2130	7												
a,mk_scale_gaiters\0	75	2182	2	377	1	96	100	5	0	1937	5	1883	2	1880	14	1458	20	2130	5												
a,mk_mithril_banded_mail\0	76	2183	3	393	1	108	100	5	0	1938	6	1883	3	1880	25	1458	45	2130	11												
a,mk_mithril_banded_gaiters\0	77	2184	3	415	1	108	100	5	0	1939	6	1883	2	1880	14	1458	30	2130	6												
a,mk_iron_boots\0	78	2185	3	553	1	108	100	5	0	1940	6	1882	16	1885	2	1458	16	2130	3												
a,mk_brigandine\0	79	2186	3	352	1	120	100	5	0	1941	7	1883	3	1880	54	1458	90	2130	24												
a,mk_manticor_skin_shirt\0	80	2187	3	395	1	120	100	5	0	1942	7	1882	84	1884	42	1458	70	2130	17												
a,mk_manticor_skin_gaiters\0	81	2188	3	417	1	120	100	5	0	1943	7	1882	45	1884	45	1458	45	2130	10												
a,mk_mithril_tunic\0	82	2189	3	437	1	120	100	5	0	1944	7	1882	84	1884	42	1458	70	2130	17												
a,mk_mithril_hose\0	83	2190	3	470	1	120	100	5	0	1945	7	1882	45	1884	45	1458	45	2130	10												
a,mk_gauntlet_of_repose_of_the_soul\0	84	2191	3	606	1	120	100	5	0	1946	7	1882	24	1885	3	1458	24	2130	5												
a,mk_kite_shield\0	85	2192	3	629	1	120	100	6	0	1947	7	1880	12	1879	4	1882	4	1458	24	2130	5										
a,mk_boots_of_power\0	86	2193	3	1124	1	120	100	5	0	1948	7	1882	24	1885	3	1458	24	2130	5												
a,mk_mithril_glove\0	87	2194	4	61	1	129	100	5	0	1949	8	1882	32	1885	4	1458	30	2130	6												
a,mk_half_plate\0	88	2195	4	353	1	129	100	5	0	1950	8	1883	3	1880	70	1458	120	2130	32												
a,mk_plate_gaiters\0	89	2196	4	380	1	129	100	5	0	1951	8	1883	2	1880	45	1458	70	2130	19												
a,mk_slamander_skin_mail\0	90	2197	4	396	1	129	100	6	0	1952	8	1882	140	1884	70	1878	35	1458	130	2130	36										
a,mk_sage's_rag\0	91	2198	4	438	1	129	100	6	0	1953	8	1882	140	1884	70	1878	35	1458	130	2130	36										
a,mk_karmian_hose\0	92	2199	4	471	1	138	100	5	0	1954	8	1894	15	1895	15	1458	70	2131	6												
a,mk_chain_helmet\0	93	2200	4	497	1	129	100	5	0	1955	8	1883	1	1882	60	1458	45	2130	10												
a,mk_square_shield\0	94	2201	4	630	1	129	100	6	0	1956	8	1880	15	1879	5	1882	5	1458	32	2130	7										
a,mk_assault_boots\0	95	2202	4	1125	1	129	100	5	0	1957	8	1882	32	1885	4	1458	30	2130	6												
a,mk_mithril_boots\0	96	2203	4	62	1	138	100	5	0	1958	8	1894	8	1885	1	1458	40	2130	9												
a,mk_chain_mail_shirt\0	97	2204	4	354	1	138	100	5	0	1959	8	1892	3	1890	1	1458	150	2131	14												
a,mk_chain_gaiters\0	98	2205	4	381	1	138	100	5	0	1960	8	1892	2	1890	1	1458	90	2131	8												
a,mk_tempered_mithril_shirt\0	99	2206	4	397	1	138	100	5	0	1961	8	1894	24	1895	12	1458	120	2131	10												
a,mk_karmian_tunic\0	100	2207	4	439	1	138	100	5	0	1962	8	1894	24	1895	12	1458	120	2131	10												
a,mk_ogre_power_gauntlet\0	101	2208	4	607	1	129	100	5	0	1963	8	1882	32	1885	4	1458	30	2130	6												
a,mk_eldarake\0	102	2209	4	631	1	138	100	6	0	1964	8	1890	3	1888	1	1894	1	1458	40	2131	3										
a,mk_metal_plate_helmet\0	103	2210	4	498	1	141	100	5	0	1965	9	1892	1	1894	3	1459	14	2131	5												
a,mk_plate_leather\0	104	2211	5	398	1	144	100	5	0	1966	9	1894	30	1895	15	1459	30	2131	12												
a,mk_plate_leather_gaiters\0	105	2212	5	418	1	144	100	5	0	1967	9	1894	18	1895	18	1459	18	2131	7												
a,mk_dwarven_chain_mail_shirt\0	106	2213	5	355	1	147	100	5	0	1968	9	1892	3	1890	5	1459	42	2131	19												
a,mk_dwarven_chain_gaiters\0	107	2214	5	382	1	147	100	5	0	1969	9	1892	2	1890	3	1459	25	2131	11												
a,mk_robe_of_seal\0	108	2215	5	440	1	147	100	6	0	1970	9	1894	40	1895	20	1889	10	1459	50	2131	21										
a,mk_great_helmet\0	109	2216	5	500	1	147	100	5	0	1971	9	1892	1	1894	6	1459	16	2131	6												
a,mk_knight_shield\0	110	2217	5	632	1	147	100	6	0	1972	9	1890	4	1888	1	1894	1	1459	12	2131	4										
a,mk_paagrio_hand\0	111	2218	5	1120	1	147	100	5	0	1973	9	1894	10	1885	1	1459	12	2131	4												
a,mk_crimson_boots\0	112	2219	5	1126	1	147	100	5	0	1974	9	1894	10	1885	1	1459	12	2131	4												
a,mk_rind_leather_mail\0	113	2220	5	399	1	147	100	5	0	1975	9	1894	32	1895	16	1459	32	2131	14												
a,mk_rind_leather_gaiters\0	114	2221	5	419	1	147	100	5	0	1976	9	1894	20	1895	20	1459	20	2131	8												
a,mk_composite_armor\0	115	2222	5	60	1	156	100	6	0	1977	10	1892	4	1890	21	1887	7	1459	95	2131	48										
a,mk_tower_shield\0	116	2223	5	103	1	156	100	6	0	1978	10	1890	6	1888	2	1894	2	1459	17	2131	7										
a,mk_demon's_tunic\0	117	2224	5	441	1	156	100	5	0	1979	10	1894	48	1895	24	1459	50	2131	22												
a,mk_demon's_hose\0	118	2225	5	472	1	156	100	5	0	1980	10	1894	30	1895	30	1459	30	2131	13												
a,mk_mithril_gauntlet\0	119	2226	5	608	1	156	100	5	0	1981	10	1894	16	1885	2	1459	16	2131	6												
a,mk_forgotten_boots\0	120	2227	5	1127	1	156	100	5	0	1982	10	1894	16	1885	2	1459	16	2131	6												
a,mk_shining_circlet\0	121	2228	5	1149	1	156	100	5	0	1983	10	1892	1	1894	14	1459	25	2131	10												
a,mk_theca_leather_mail\0	122	2229	5	400	1	159	100	5	0	1984	10	1894	54	1895	27	1459	55	2131	25												
a,mk_theca_leather_gaiters\0	123	2230	5	420	1	159	100	5	0	1985	10	1894	32	1895	32	1459	35	2131	15												
a,mk_full_plate_armor\0	124	2231	6	356	1	165	100	6	0	1986	11	1892	4	1890	36	1887	12	1459	140	2131	73										
a,mk_drake_leather_mail\0	125	2232	6	401	1	165	100	6	0	1987	11	1894	96	1895	48	1889	24	1459	100	2131	53										
a,mk_divine_tunic\0	126	2233	6	442	1	165	100	5	0	1988	11	1894	70	1895	35	1459	72	2131	34												
a,mk_divine_hose\0	127	2234	6	473	1	165	100	5	0	1989	11	1894	42	1895	42	1459	45	2131	20												
a,mk_mithril_helmet\0	128	2235	6	499	1	165	100	5	0	1990	11	1892	1	1894	26	1459	36	2131	15												
a,mk_cap_of_mana\0	129	2236	6	529	1	165	100	5	0	1991	11	1892	1	1894	26	1459	36	2131	15												
a,mk_paradia_hood\0	130	2237	6	531	1	165	100	5	0	1992	11	1892	1	1894	26	1459	36	2131	15												
a,mk_hood_of_sola_eclipse\0	131	2238	6	533	1	165	100	5	0	1993	11	1892	1	1894	26	1459	36	2131	15												
a,mk_hood_of_summons\0	132	2239	6	535	1	165	100	5	0	1994	11	1892	1	1894	26	1459	36	2131	15												
a,mk_elemental_hood\0	133	2240	6	537	1	165	100	5	0	1995	11	1892	1	1894	26	1459	36	2131	15												
a,mk_hood_of_grace\0	134	2241	6	539	1	165	100	5	0	1996	11	1892	1	1894	26	1459	36	2131	15												
a,mk_phoenix's_hood\0	135	2242	6	541	1	165	100	5	0	1997	11	1892	1	1894	26	1459	36	2131	15												
a,mk_hood_of_assistance\0	136	2243	6	543	1	165	100	5	0	1998	11	1892	1	1894	26	1459	36	2131	15												
a,mk_flame_bonnet\0	137	2244	6	545	1	165	100	5	0	1999	11	1892	1	1894	26	1459	36	2131	15												
a,mk_pata_i\0	138	5008	6	264	1	171	60	8	0	5008	1	4103	12	1890	70	1888	70	1885	35	4042	35	1459	310	2132	55						
a,mk_bonnet_o'_avadon\0	139	2246	6	549	1	165	100	5	0	2001	11	1892	1	1894	26	1459	36	2131	15												
a,mk_helmet_of_pledge\0	140	2247	6	551	1	165	100	5	0	2002	11	1892	1	1894	26	1459	36	2131	15												
a,mk_gauntlet_of_ghost\0	141	2248	6	609	1	165	100	5	0	2003	11	1894	24	1885	3	1459	24	2131	10												
a,mk_adamantite_boots\0	142	2249	6	1128	1	165	100	5	0	2004	11	1894	24	1885	3	1459	24	2131	10												
a,mk_bone_arrow\0	143	2250	2	1341	650	80	100	2	0	1864	1	1881	1																		
a,mk_fine_steel_arrow\0	144	2251	3	1342	600	100	100	2	0	1864	4	1880	1																		
a,mk_iron_hammer\0	145	2252	1	87	1	72	100	4	0	2014	3	1869	260	1870	260	1866	130														
a,mk_sword_breaker\0	146	2253	1	219	1	72	100	3	0	2015	3	1869	365	1870	365																
a,mk_composition_bow\0	147	2254	1	273	1	72	100	4	0	2016	3	1869	400	1878	80	1866	80														
a,mk_saber\0	148	2255	2	123	1	84	100	5	0	2017	4	1883	2	1880	70	1879	70	2130	34												
a,mk_assassin_knife\0	149	2256	2	221	1	84	100	5	0	2018	4	1883	2	1880	70	1879	70	2130	34												
a,mk_trident\0	150	2257	2	291	1	84	100	5	0	2019	4	1880	80	1879	40	1885	20	2130	34												
a,mk_temptation_of_abyss\0	151	2258	2	313	1	84	100	5	0	2020	4	1880	30	1881	60	1878	30	2130	34												
a,mk_spinebone_sword\0	152	2259	2	125	1	96	100	6	0	2021	5	1883	2	1880	75	1879	75	1458	200	2130	57										
a,mk_mace_of_judgment\0	153	2260	2	180	1	96	100	6	0	2022	5	1880	60	1879	60	1885	30	1458	200	2130	57										
a,mk_conjure_staff\0	154	2261	2	184	1	96	100	6	0	2023	5	1880	45	1881	90	1878	45	1458	200	2130	57										
a,mk_elven_bow\0	155	2262	2	276	1	96	100	6	0	2024	5	1880	100	1878	20	1885	20	1458	200	2130	57										
a,mk_dwarven_trident\0	156	2263	2	295	1	96	100	6	0	2025	5	1880	80	1879	40	1885	20	1458	200	2130	57										
a,mk_two-handed_sword\0	157	2264	3	124	1	108	100	6	0	2026	6	1883	3	1880	144	1879	72	1458	300	2130	91										
a,mk_spike_club\0	158	2265	3	157	1	108	100	6	0	2027	6	1880	90	1879	90	1885	45	1458	300	2130	91										
a,mk_knife_o'_silenus\0	159	2266	3	241	1	108	100	6	0	2028	6	1883	2	1880	118	1879	118	1458	300	2130	91										
a,mk_gastraphetes\0	160	2267	3	278	1	108	100	6	0	2029	6	1880	150	1878	30	1885	30	1458	300	2130	91										
a,mk_tome_of_blood\0	161	2268	3	317	1	108	100	6	0	2030	6	1880	70	1881	140	1878	70	1458	300	2130	91										
a,mk_morning_star\0	162	2269	3	88	1	120	100	6	0	2031	7	1880	128	1879	128	1885	64	1458	430	2130	139										
a,mk_goathead_staff\0	163	2270	3	90	1	120	100	6	0	2032	7	1880	100	1881	200	1878	100	1458	430	2130	139										
a,mk_winged_spear\0	164	2271	3	93	1	120	100	6	0	2033	7	1880	180	1879	90	1885	45	1458	430	2130	139										
a,mk_sword_of_revolution\0	165	2272	3	129	1	120	100	6	0	2034	7	1883	2	1880	175	1879	175	1458	430	2130	139										
a,mk_tarbar\0	166	2273	3	158	1	120	100	6	0	2035	7	1880	128	1879	128	1885	64	1458	430	2130	139										
a,mk_skull_breaker\0	167	2274	3	169	1	120	100	6	0	2036	7	1880	128	1879	128	1885	64	1458	430	2130	139										
a,mk_heavy_bone_club\0	168	2275	3	172	1	120	100	6	0	2037	7	1880	128	1879	128	1885	64	1458	430	2130	139										
a,mk_maingauche\0	169	2276	3	224	1	120	100	6	0	2038	7	1883	2	1880	175	1879	175	1458	430	2130	139										
a,mk_bich'hwa\0	170	2277	3	261	1	120	100	6	0	2039	7	1880	128	1879	128	1885	64	1458	430	2130	139										
a,mk_strengthening_long_bow\0	171	2278	3	279	1	120	100	6	0	2040	7	1880	225	1878	45	1885	45	1458	300	2130	139										
a,mk_hammer_in_flames\0	172	2279	3	294	1	120	100	6	0	2041	7	1880	180	1879	90	1885	45	1458	430	2130	139										
a,mk_crucifix_of_blood\0	173	2280	3	318	1	120	100	6	0	2042	7	1880	100	1881	200	1878	100	1458	430	2130	139										
a,mk_eye_of_infinity\0	174	2281	3	319	1	120	100	6	0	2043	7	1880	100	1881	200	1878	100	1458	430	2130	139										
a,mk_cursed_maingauche\0	175	2282	3	1660	1	120	100	6	0	2044	7	1883	2	1880	175	1879	175	1458	430	2130	139										
a,mk_blue_crystal_skull\0	176	2283	4	320	1	123	100	6	0	2045	7	1880	110	1881	220	1878	110	1458	470	2130	153										
a,mk_demon_fangs\0	177	2284	4	321	1	123	100	6	0	2046	7	1880	110	1881	220	1878	110	1458	470	2130	153										
a,mk_claymore\0	178	2285	4	70	1	129	100	6	0	2047	8	1883	3	1880	270	1879	135	1458	550	2130	185										
a,mk_bonebreaker\0	179	2286	4	159	1	129	100	6	0	2048	8	1880	160	1879	160	1885	80	1458	550	2130	185										
a,mk_atuba_hammer\0	180	2287	4	187	1	129	100	6	0	2049	8	1880	220	1879	110	1885	55	1458	550	2130	185										
a,mk_ghost_staff\0	181	2288	4	188	1	129	100	6	0	2050	8	1880	130	1881	260	1878	130	1458	550	2130	185										
a,mk_life_stick\0	182	2289	4	189	1	129	100	6	0	2051	8	1880	130	1881	260	1878	130	1458	550	2130	185										
a,mk_mithril_dagger\0	183	2290	4	225	1	129	100	6	0	2052	8	1883	2	1880	220	1879	220	1458	550	2130	185										
a,mk_scallop_jamadhr\0	184	2291	4	262	1	129	100	6	0	2053	8	1880	160	1879	160	1885	80	1458	550	2130	185										
a,mk_cyclone_bow\0	185	2292	4	280	1	129	100	6	0	2054	8	1880	275	1878	55	1885	55	1458	550	2130	185										
a,mk_glaive\0	186	2293	4	297	1	129	100	6	0	2055	8	1880	220	1879	110	1885	55	1458	550	2130	185										
a,mk_vajra_wands\0	187	2294	4	322	1	129	100	6	0	2056	8	1880	130	1881	260	1878	130	1458	550	2130	185										
a,mk_ancient_reagent\0	188	2295	4	323	1	129	100	6	0	2057	8	1880	130	1881	260	1878	130	1458	550	2130	185										
a,mk_atuba_mace\0	189	2296	4	190	1	129	100	6	0	2058	8	1880	220	1879	110	1885	55	1458	550	2130	185										
a,mk_flamberge\0	190	2297	4	71	1	138	100	7	0	2059	8	1891	3	1890	24	1888	12	5220	48	1458	700	2131	81								
a,mk_stormbringer\0	191	2298	4	72	1	138	100	7	0	2060	8	1891	2	1890	25	1888	25	5220	50	1458	700	2131	81								
a,mk_big_hammer\0	192	2299	4	89	1	138	100	7	0	2061	8	1890	30	1888	30	1885	15	5220	60	1458	700	2131	81								
a,mk_scythe\0	193	2300	4	96	1	138	100	7	0	2062	8	1890	40	1888	20	1885	10	5220	50	1458	700	2131	81								
a,mk_battle_axe\0	194	2301	4	160	1	138	100	7	0	2063	8	1890	30	1888	30	1885	15	5220	60	1458	700	2131	81								
a,mk_war_pick\0	195	2302	4	161	1	138	100	7	0	2064	8	1890	30	1888	30	1885	15	5220	60	1458	700	2131	81								
a,mk_skull_graver\0	196	2303	4	173	1	138	100	7	0	2065	8	1890	30	1888	30	1885	15	5220	60	1458	700	2131	81								
a,mk_heavy_doom_hammer\0	197	2304	4	191	1	138	100	7	0	2066	8	1890	40	1888	20	1885	10	5220	50	1458	700	2131	81								
a,mk_crystal_staff\0	198	2305	4	192	1	138	100	7	0	2067	8	1893	20	1881	40	1889	20	5220	60	1458	700	2131	81								
a,mk_stick_of_faith\0	199	2306	4	193	1	138	100	7	0	2068	8	1893	20	1881	40	1889	20	5220	60	1458	700	2131	81								
a,mk_heavy_doom_axe\0	200	2307	4	194	1	138	100	7	0	2069	8	1890	40	1888	20	1885	10	5220	50	1458	700	2131	81								
a,mk_cursed_dagger\0	201	2308	4	226	1	138	100	7	0	2070	8	1891	2	1890	25	1888	25	5220	50	1458	700	2131	81								
a,mk_needle_wolverine\0	202	2309	4	230	1	138	100	7	0	2071	8	1891	2	1890	25	1888	25	5220	50	1458	700	2131	81								
a,mk_darkelven_dagger\0	203	2310	4	232	1	138	100	7	0	2072	8	1891	2	1890	25	1888	25	5220	50	1458	700	2131	81								
a,mk_chakram\0	204	2311	4	263	1	138	100	7	0	2073	8	1890	30	1888	30	1885	15	5220	60	1458	700	2131	81								
a,mk_crystallized_ice_bow\0	205	2312	4	281	1	138	100	7	0	2074	8	1890	45	1889	9	1885	9	5220	54	1458	700	2131	81								
a,mk_orcish_glaive\0	206	2313	4	298	1	138	100	7	0	2075	8	1890	40	1888	20	1885	10	5220	50	1458	700	2131	81								
a,mk_body_slasher\0	207	2314	4	302	1	138	100	7	0	2076	8	1890	40	1888	20	1885	10	5220	50	1458	700	2131	81								
a,mk_shamshir\0	208	2315	5	73	1	147	100	7	0	2077	9	1891	2	1890	33	1888	33	5220	66	1459	180	2131	105								
a,mk_katana\0	209	2316	5	74	1	147	100	7	0	2078	9	1891	2	1890	33	1888	33	5220	66	1459	180	2131	105								
a,mk_bech_de_corbin\0	210	2317	5	94	1	147	100	7	0	2079	9	1890	52	1888	26	1885	13	5220	65	1459	170	2131	105								
a,mk_spirits_sword\0	211	2318	5	131	1	147	100	7	0	2080	9	1891	2	1890	33	1888	33	5220	66	1459	180	2131	105								
a,mk_raid_sword\0	212	2319	5	133	1	147	100	7	0	2081	9	1891	2	1890	33	1888	33	5220	66	1459	180	2131	105								
a,mk_cursed_staff\0	213	2320	5	195	1	147	100	7	0	2082	9	1893	26	1881	52	1889	26	5220	78	1459	180	2131	105								
a,mk_stiletto\0	214	2321	5	227	1	147	100	7	0	2083	9	1891	2	1890	33	1888	33	5220	66	1459	180	2131	105								
a,mk_dagger_of_magicflame\0	215	2322	5	242	1	147	100	7	0	2084	9	1891	2	1890	33	1888	33	5220	66	1459	180	2131	105								
a,mk_elemental_bow\0	216	2323	5	282	1	147	100	7	0	2085	9	1890	60	1889	12	1885	12	5220	72	1459	170	2131	105								
a,mk_noble_elven_bow\0	217	2324	5	285	1	147	100	7	0	2086	9	1890	60	1889	12	1885	12	5220	72	1459	170	2131	105								
a,mk_tears_of_fairy\0	218	2325	5	324	1	147	100	7	0	2087	9	1893	26	1881	52	1889	26	5220	78	1459	180	2131	105								
a,mk_horn_of_glory\0	219	2326	5	325	1	147	100	7	0	2088	9	1893	26	1881	52	1889	26	5220	78	1459	180	2131	105								
a,mk_caliburs\0	220	2327	5	75	1	156	100	7	0	2089	10	1891	2	1890	50	1888	50	5220	100	1459	300	2131	166								
a,mk_sword_of_delusion\0	221	2328	5	76	1	156	100	7	0	2090	10	1891	2	1890	50	1888	50	5220	100	1459	300	2131	166								
