id	string
1000160	u,Ты! Ты и есть демон!\0
1000161	u,Только теперь разум вернулся ко мне… Спасибо… Теперь я смогу отдохнуть...\0
1000162	u,Мастер Укру!\0
1000163	u,Вы Мату?\0
1000164	u,Марак! Турабин! Сабарача!\0
1000165	u,Паагрио Тама!\0
1000166	u,Да будет воля Икара!\0
1000167	u,Ставшим на моем пути нет прощения!\0
1000168	u,Мерзавцы...\0
1000169	u,У вас не хватит силы.\0
1000170	u,Назад\0
1000171	u,Адены были переданы.\0
1000172	u,Номер ивента\0
1000173	u,1-е место\0
1000174	u,2-е место\0
1000175	u,3-е место\0
1000176	u,4-е место\0
1000177	u,Ни один лотерейный билет не стал выигрышным.\0
1000178	u,Выигрышный лотерейный билет:\0
1000179	u,Подтвердите свой выбор.\0
1000180	u,Кто осмелился войти сюда?\0
1000181	u,Здесь изучаются новые заклинания.\0
1000182	u,Я покажу тебе великую силу магии!\0
1000183	u,Твоя сила впечатляет, но все же ты не сравнишься с нашим высшим колдовством.\0
1000184	u,Я Барда, хозяин Лагеря Разбойников!\0
1000185	u,Я , Барда, единственный хозяин этой крепости.\0
1000186	u,О! Очень интересно!\0
1000187	u,Ты сильнее, чем мне казалось. Я еще вернусь\0
1000188	u,Мерзкие маги!\0
1000189	u,Как ты смеешь вторгаться на нашу землю! Я это так просто не оставлю!\0
1000190	u,Ты тоже в этой шайке магов?\0
1000191	u,Именно поэтому я не хочу связываться с магами.\0
1000192	u,Ах! Еще один прекрасный день!\0
1000193	u,Мы профессионалы в поджогах и грабеже.\0
1000194	u,Мы очистим твои карманы!\0
1000195	u,Ты хочешь забрать мои сокровища? Попробуй! \0
1000196	u,Все слышат? Сирион вернулся. Преклонитесь предо мной...\0
1000197	u,Никчемные людишки… Склоните свои головы предо мной!\0
1000198	u,Что за убожество...\0
1000199	u,Не думай, что ты непобедим только потому, что тебе удалось меня одолеть!\0
1000200	u,Жадность смертных абсолютно бессмысленна.\0
1000201	u,Не забывай, почему пала Башня Дерзости.\0
1000202	u,Людишки все одинаковые, скупые и алчные!\0
1000203	u,Суета сует, все суета...\0
1000204	u,Что тут происходит, почему собралось столько народу?\0
1000205	u,Я хочу выведать тайну бессмертия у этих падших ангелов!\0
1000206	u,Вам тоже нужен секрет бессмертия?\0
1000207	u,Я никому не раскрою своих секретов.\0
1000208	u,Кто посмел войти сюда?\0
1000209	u,Людям сюда нельзя! Немедленно убирайся!\0
1000210	u,Жалкие твари! Слишком глупые, чтобы осознать свое невежество!\0
1000211	u,Нельзя! Туда нельзя!\0
1000212	u,Кто посмел вторгнуться в это болото?\0
1000213	u,Нельзя допустить, чтобы люди уничтожили болота из-за своей жадности.\0
1000214	u,Ты храбрец...\0
1000215	u,Глупцы… Когда-нибудь вы тоже будете стерты с лица земли.\0
1000216	u,Кто-то вошел в лес…\0
1000217	u,Этот лес очень тихий и мирный.\0
1000218	u,Останься здесь. Этот лес прекрасен.\0
1000219	u,Я… Мои души...\0
1000220	u,Этот лес очень опасен.\0
1000221	u,Если ты сейчас же не покинешь этот лес, то пожалеешь.\0
1000222	u,Сейчас же убирайся отсюда!\0
1000223	u,Почему ты игнорируешь меня?\0
1000224	u,Все Хариты этого мира… Я несу мир вам...\0
1000225	u,Хариты! Будьте храбры!\0
1000226	u,Я вырву и съем твое сердце!\0
1000227	u,Хариты... До тех пор, пока я не вернусь... Не теряйте надежды...\0
1000228	u,Гиганты покинули этот мир! Нам нечего бояться!\0
1000229	u,Знаешь ли ты о гигантах? Их крах был неизбежен!\0
1000230	u,Что! Ты это мне?!\0
1000231	u,Ты страшен, как сами гиганты...\0
1000232	u,А это подземелье все еще в хорошем состоянии!\0
1000233	u,Очаровательное место, тебе так не кажется?\0
1000234	u,Вы и вправду храбрые воины.\0
1000235	u,Видимо, время гигантов действительно прошло.\0
1000236	u,Отличные могилы.\0
1000237	u,Зачем мертвецу золото и серебро?!\0
1000238	u,Бесчестные аристократы. Зачем хоронить такие нужные вещи.\0
1000239	u,Грязная свинья! Жри и радуйся, что тебе удалось уйти от ответственности!\0
1000240	u,Эти головорезы! Было бы слишком милостиво просто выпотрошить их и съесть!\0
1000241	u,Мерзавцы!\0
1000242	u,Это могли быть убийцы, посланные глупыми аденцами??\0
1000243	u,Я проклинаю вас навечно!\0
1000244	u,Моя любимая Госпожа Шилен...\0
1000245	u,Я должен разрушить печать Госпожи Шилен как можно скорее!\0
1000246	u,Вы почувствуете гнев Шилен!\0
1000247	u,Шилен… Когда-нибудь… Я завершу начатое...\0
1000248	u,На пути к бессмертию...\0
1000249	u,Все, кто жаждет вечной жизни… Идите ко мне.\0
1000250	u,Я использую тебя в качестве жертвы и получу бессмертие!\0
1000251	u,Я уже почти заполучил секрет бессмертия… Как я мог провалиться...\0
1000252	u,Закен, мерзавец!\0
1000253	u,Закен, разве ты не получил бессмертия?\0
1000254	u,Верни мое тело.\0
1000255	u,В конце концов... Смогу ли я наконец-то отдохнуть?.\0
1000256	u,Что за шум?\0
1000257	u,Мастер Гильдор не любит шума.\0
1000258	u,Вы не могли бы притихнуть?\0
1000259	u,Если Гильдор разозлиться, я не смогу ничем помочь.\0
1000260	u,Кто посмел приблизиться ко мне?\0
1000261	u,Это поле - мое...\0
1000262	u,Вы глупцы! Я проучу вас!!\0
1000263	u,Прошлое уходит… Начинается новая эра...\0
1000264	u,Это сад Евы.\0
1000265	u,Сад Евы - святое место.\0
1000266	u,Вы хотите оскорбить Еву?\0
1000267	u,Любовь Евы распространяется даже на таких, как мы…\0
1000268	u,Это место принадлежит Шилен.\0
1000269	u,Оставьте этот дворец нам, духам Евы!\0
1000270	u,Зачем ты хочешь встать на нашем пути?\0
1000271	u,Шилен… Шилен...\0
1000272	u,Все, кто боится Фафуриона… Покиньте это место!\0
1000273	u,Я накажу тебя во имя Фафуриона!\0
1000274	u,Господин… Прости слугу своего никчемного...\0
1000275	u,Готовьтесь к смерти, чужеземные захватчики! Властелин этой крепости, Я, Густав, взялся за меч!\0
1000276	u,Слава Королевству Лиона! Слава Густаву, Бессмертному королю!\0
1000277	u,В атаку, воины Густава! Изгоним чужеземных захватчиков с наших земель!\0
1000278	u,Не может быть… Мы повержены? Я обязательно вернусь за вашими головами!\0
1000279	u,Видимо, это все, на что я способен… Но без разрешения Густава я умереть не могу!\0
1000280	u,Я опять повержен… Но это не должно закончиться вот так...\0
1000281	u,Я исполняю волю Фафуриона!\0
1000282	u,Мы начинаем продажу билетов на лотерею Удачи!!!\0
1000283	u,Мы начинаем лотерею Удачи!!!\0
1000284	u,В лотерее $s1 победителем стал номер $s2 . Поздравляем с победой!\0
1000285	u,В связи с ограничением по возрасту Вы не можете приобрести лотерейный билет.\0
1000286	u,$s1! Будь начеку!\0
1000287	u,$s1! Иди сюда, я проучу тебя!\0
1000288	u,$s1! Как ты смеешь мешать нашей битве! Ребята, помогите!\0
1000289	u,Я помогу тебе! Я не трус!\0
1000290	u,О, великие боги!\0
1000291	u,$s1, умри!\0
1000292	u,Следую вашим приказам.\0
1000293	u,Держу пари, ты даже не предполагал этого!\0
1000294	u,Выходите, дети тьмы!\0
1000295	u,Вызвать членов группы!\0
1000296	u,Господин! Вы звали меня?\0
1000297	u,Глупец!\0
1000298	u,Как тебе это?!\0
1000299	u,Отлично, $s1! Это уже последнее!\0
1000300	u,Рассвет\0
1000301	u,Закат\0
1000302	u,Отсутствие\0
1000303	u,Мир скоро будет уничтожен!\0
1000304	u,Я проклинаю вас!\0
1000305	u,Судный день не за горами!\0
1000306	u,Я благословляю вас!\0
1000307	u,Первое правило во время битвы – сначала убить самых слабых!\0
1000308	u,аден\0
1000309	u,древних аден\0
1000310	u,Закат\0
1000311	u,Рассвет\0
1000312	u,Ниже 32-го уровня\0
1000313	u,Ниже 43-го уровня\0
1000314	u,Ниже 54-го уровня\0
1000315	u,Ниже 65-го уровня\0
1000316	u,Без ограничений по уровню\0
1000317	u,Через 2 мин. начнется основной ивент. Идет регистрация участников.\0
1000318	u,Начинаем основной ивент.\0
1000319	u,Через 5 мин. основной ивент завершится.\0
1000320	u,Через 2 мин. основной ивент завершится. Готовьтесь к следующей игре.\0
1000321	u,Размер вклада SSQ увеличен на $s1.\0
1000322	u,Нет записей\0
1000324	u,<a action="bypass -h menu_select?ask=-2&reply=324">Гладиатор</a><br>\0
1000325	u,<a action="bypass -h menu_select?ask=-2&reply=325">Копейщик</a><br>\0
1000327	u,<a action="bypass -h menu_select?ask=-2&reply=327">Паладин</a><br>\0
1000328	u,<a action="bypass -h menu_select?ask=-2&reply=328">Мститель</a><br>\0
1000330	u,<a action="bypass -h menu_select?ask=-2&reply=330">Искатель Сокровищ</a><br>\0
1000331	u,<a action="bypass -h menu_select?ask=-2&reply=331">Стрелок</a><br>\0
1000334	u,<a action="bypass -h menu_select?ask=-2&reply=334">Властитель Огня</a><br>\0
1000335	u,<a action="bypass -h menu_select?ask=-2&reply=335">Некромант</a><br>\0
1000336	u,<a action="bypass -h menu_select?ask=-2&reply=336">Колдун</a><br>\0
1000338	u,<a action="bypass -h menu_select?ask=-2&reply=338">Епископ</a><br>\0
1000339	u,<a action="bypass -h menu_select?ask=-2&reply=339">Проповедник</a><br>\0
1000342	u,<a action="bypass -h menu_select?ask=-2&reply=342">Рыцарь Евы</a><br>\0
1000343	u,<a action="bypass -h menu_select?ask=-2&reply=343">Менестрель</a><br>\0
1000345	u,<a action="bypass -h menu_select?ask=-2&reply=345">Следопыт</a><br>\0
1000346	u,<a action="bypass -h menu_select?ask=-2&reply=346">Серебряный Рейнджер</a><br>\0
1000349	u,<a action="bypass -h menu_select?ask=-2&reply=349">Певец Заклинаний</a><br>\0
1000350	u,<a action="bypass -h menu_select?ask=-2&reply=350">Последователь Стихий</a><br>\0
1000352	u,<a action="bypass -h menu_select?ask=-2&reply=352">Мудрец Евы</a><br>\0
1000355	u,<a action="bypass -h menu_select?ask=-2&reply=355">Рыцарь Шилен</a><br>\0
1000356	u,<a action="bypass -h menu_select?ask=-2&reply=356">Танцор Смерти</a><br>\0
1000358	u,<a action="bypass -h menu_select?ask=-2&reply=358">Странник Бездны</a><br>\0
1000359	u,<a action="bypass -h menu_select?ask=-2&reply=359">Призрачный Рейнджер</a><br>\0
1000362	u,<a action="bypass -h menu_select?ask=-2&reply=362">Заклинатель Ветра</a><br>\0
1000363	u,<a action="bypass -h menu_select?ask=-2&reply=363">Последователь Тьмы</a><br>\0
1000365	u,<a action="bypass -h menu_select?ask=-2&reply=365">Мудрец Шилен</a><br>\0
1000368	u,<a action="bypass -h menu_select?ask=-2&reply=368">Разрушитель</a><br>\0
1000370	u,<a action="bypass -h menu_select?ask=-2&reply=370">Отшельник</a><br>\0
1000373	u,<a action="bypass -h menu_select?ask=-2&reply=373">Верховный Шаман</a><br>\0
1000374	u,<a action="bypass -h menu_select?ask=-2&reply=374">Вестник Войны</a><br>\0
1000377	u,<a action="bypass -h menu_select?ask=-2&reply=377">Охотник за Наградой</a><br>\0
1000379	u,<a action="bypass -h menu_select?ask=-2&reply=379">Кузнец</a><br>\0
1000380	u,Этого достаточно! Скоро я помогу тебе выбраться!\0
1000381	u,$s1! Осторожно!\0
1000382	u,Твой тыл очень уязвим!\0
1000383	u,Как ты смеешь поворачиваться ко мне спиной!\0
1000384	u,$s1! Вызываю тебя на бой!\0
1000385	u,$s1! Дуэль!\0
1000386	u,$s1! Это дуэль! Оставьте нас одних!\0
1000387	u,$s1! Убить тебя – какое удовольствие!\0
1000388	u,$s1! Как ты смеешь мешать нашей дуэли!\0
1000389	u,Дуэль закончилась! Все в атаку!\0
1000390	u,Убить труса!\0
1000391	u,Ты мешаешь дуэли! Я проучу тебя!\0
1000392	u,Умри, трус!\0
1000393	u,Чего тебе надо?\0
1000394	u,Смерть трусу!\0
1000395	u,Не думал, что мне придется использовать это против новичка!\0
1000396	u,Тебе еще далеко до меня!\0
1000397	u,Поддавки закончились!\0
1000398	u,Пусть $s1 умрет первым!\0
1000399	u,Умри, $s1!\0
1000400	u,В атаку! В атаку!\0
1000401	u,Все сюда!\0
1000402	u,Вас понял!\0
1000403	u,Покажите себя!\0
1000404	u,Воины тьмы, идите за мной!\0
1000405	u,Братья мои, уничтожьте врага!\0
1000406	u,Вот теперь начнется настоящая битва!\0
1000407	u,Шутки кончились, готовься к смерти!\0
1000408	u,Глупец! Пока я только игрался с тобой!\0
1000409	u,Я тебе покажу свою настоящую силу!\0
1000410	u,Настоящая битва только начинается!\0
1000411	u,Ты первый, кто смог заставить мою кровь вскипеть!\0
1000412	u,Ты сильнее, чем я думал!\0
1000413	u,Я удвою свою силу!\0
1000414	u,Готовься к смерти!\0
1000415	u,Все пропало! Готовьтесь к встрече с Богиней Смерти!\0
1000416	u,Все пропало! Пророчество гибели сбывается!\0
1000417	u,Прислушайтесь к пророчеству гибели! Скоро наступит конец света!\0
1000418	u,$s1! Ты приносишь несчастье!\0
1000419	u,$s1! Сдавайся!\0
1000420	u,Тебе не на что надеяться! Твой конец близок!\0
1000421	u,Темное пророчество сбывается!\0
1000422	u,Темное пророчество сбылось, началась эра хаоса!\0
1000423	u,Прислушайся к темному пророчеству!\0
1000424	u,$s1! Я благословляю тебя даром провидения!\0
1000425	u,$s1! Я дарую тебе власть над бездной!\0
1000426	u,Вестник новой эры, открой свои глаза!\0
1000427	u,Главное правило ведения боя - сначала убить слабых!\0
1000428	u,Негодяй, готовься к смерти!\0
1000429	u,Этого достаточно. Готовься к освобождению!\0
1000430	u,Ничья\0
1000431	u,Властелины печатей! Я принес вам чудесные дары!\0
1000432	u,Властелины печатей! Я принес вам отличное оружие!\0
1000433	u,Я очень занят подготовкой к путешествию!\0
1000434	u,Обижаешь слабых?! Непростительно!\0
1000435	u,Я здесь, чтобы помочь тебе!\0
1000436	u,За справедливость!\0
1000437	u,За вечную славу!\0
1000438	u,Справедливость всегда на стороне слабых!\0
1000439	u,Ты в порядке? Потерпи еще чуть-чуть!\0
1000440	u,Зачем я буду говорить тебе свое имя, ничтожество?\0
1000441	u,0 мин.\0
1000442	u,$s1 мин.\0
1000443	u,Защитники замка $s1 будут телепортированы в замок.\0
1000444	u,Воскресенье\0
1000445	u,Понедельник\0
1000446	u,Вторник\0
1000447	u,Среда\0
1000448	u,Четверг\0
1000449	u,Пятница\0
1000450	u,Суббота\0
1000451	u,ч.\0
1000452	u,Хороший день, чтобы умереть! Добро пожаловать в ад!\0
1000453	u,Через две минуты Праздник Тьмы закончится\0
1000454	u,Билет Дворянина\0
1000455	a, \0
1000456	u,мин. прошло\0
1000457	u,Игра закончена. Сейчас появится телепорт.\0
1000458	u,Вы слизни, копошащиеся в земле! Великодушию и славе Белоглазого Демона нет конца!\0
1000459	u,Если ты хочешь противостоять мне, Белоглазому Демону, ты должен иметь хотя бы базовые умения!\0
1000460	u,Глупцы, вам, верно, тяжко носить свои туши по этой земле. Я, Демон, помогу вам с этим!\0
1000461	u,Такие слабые и глупые расы, как вы, не могут стать мне серьезной помехой!\0
1000462	u,Как ты смеешь вторгаться во владения Белоглазого Демона! Ты заплатишь за этот опрометчивый поступок!\0
1000463	u,Познайте милость Белоглазого Демона! Ха-ха-ха!\0
1000464	u,$s1! Вы стали Героем Дуэлистов. Поздравляем!\0
1000465	u,$s1! Вы стали Героем Полководцев. Поздравляем!\0
1000466	u,$s1! Вы стали Героем Рыцарей Феникса. Поздравляем!\0
1000467	u,$s1! Вы стали Героем Рыцарей Ада. Поздравляем!\0
1000468	u,$s1! Вы стали Героем Снайперов. Поздравляем!\0
1000469	u,$s1! Вы стали Героем Авантюристов. Поздравляем!\0
1000470	u,$s1! Вы стали Героем Архимагов. Поздравляем!\0
1000471	u,$s1! Вы стали Героем Пожирателей Душ. Поздравляем!\0
1000472	u,$s1! Вы стали Героем Чернокнижников. Поздравляем!\0
1000473	u,$s1! Вы стали Героем Кардиналов. Поздравляем!\0
1000474	u,$s1! Вы стали Героем Апостолов. Поздравляем!\0
1000475	u,$s1! Вы стали Героем Храмовников Евы. Поздравляем!\0
1000476	u,$s1! Вы стали Героем Виртуозов. Поздравляем!\0
1000477	u,$s1! Вы стали Героем Странников Ветра. Поздравляем!\0
1000478	u,$s1! Вы стали Героем Стражей Лунного Света. Поздравляем!\0
1000479	u,$s1! Вы стали Героем Магистров Магии. Поздравляем!\0
1000480	u,$s1! Вы стали Героем Мастеров Стихий. Поздравляем!\0
1000481	u,$s1! Вы стали Героем Жрецов Евы. Поздравляем!\0
1000482	u,$s1! Вы стали Героем Храмовников Шилен. Поздравляем!\0
1000483	u,$s1! Вы стали Героем Призрачных Танцоров. Поздравляем!\0
1000484	u,$s1! Вы стали Героем Призрачных Охотников. Поздравляем!\0
1000485	u,$s1! Вы стали Героем Стражей Теней. Поздравляем!\0
1000486	u,$s1! Вы стали Героем Повелителей Бури. Поздравляем!\0
1000487	u,$s1! Вы стали Героем Владык Теней. Поздравляем!\0
1000488	u,$s1! Вы стали Героем Жрецов Шилен. Поздравляем!\0
1000489	u,$s1! Вы стали Героем Титанов. Поздравляем!\0
1000490	u,$s1! Вы стали Героем Аватаров. Поздравляем!\0
1000491	u,$s1! Вы стали Героем Деспотов. Поздравляем!\0
1000492	u,$s1! Вы стали Героем Гласов Судьбы. Поздравляем!\0
1000493	u,$s1! Вы стали Героем Кладоискателей. Поздравляем!\0
1000494	u,$s1! Вы стали Героем Мастеров. Поздравляем!\0
1000495	u,**Не зарегистрирован**\0
1000496	u,$s1! Вы стали Героем Карателей. Поздравляем!\0
1000497	u,$s1! Вы стали Героем Инквизиторов. Поздравляем!\0
1000498	u,$s1! Вы стали Героем Инквизиторов. Поздравляем!\0
1000499	u,$s1! Вы стали Героем Диверсантов. Поздравляем!\0
1000500	u,Теперь Вы можете войти в Склеп\0
1000501	u,Если приложить руку ко всем каменным изваяниям перед входом в склеп, он откроется.\0
1000502	u,Появились монстры!\0
1000503	u,Благодарю за мое спасение.\0
1000504	u,Менее $s1 чел.\0
1000505	u,Более $s1 чел.\0
1000506	u,Точка\0
1000507	u,Соревнование\0
1000508	u,Действие Печати\0
1000509	u,Подготовка\0
1000510	u,Закат\0
1000511	u,Рассвет\0
1000512	u,Владельца нет\0
1000513	u,$s1, Вам здесь находиться опасно. Пожалуйста, возвращайтесь.\0
1000514	u,Кто разбудил меня?\0
1000515	u,Вор, убирайся прочь! Это наше место для отдыха.\0
1000516	u,Мразь Хестуи, оставь нас в покое!\0
1000517	u,Кекеи, ты больше не сможешь спать спокойно.\0
1000518	u,Символ Путешественника-Новичка\0
1000519	u,Ты хочешь бросить вызов мне, властелину огня? $s1!\0
1000520	u,$s1!!!! Ты думаешь, что сможешь победить меня, смертный?!\0
1000521	u,Даже боги боятся перечить мне, а ты, $s1, бросаешь мне вызов?!\0
